brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Alfa Romeo,147,2001>2005,Gasoline,2.0  TS,150 hp,165 hp,+ 15 hp,172 Nm,192 Nm,+ 20 Nm
Alfa Romeo,147,2005>...,Diesel,1.9Jtd,140 hp,175 hp,+ 35 hp,305 Nm,380 Nm,+ 75 Nm
Alfa Romeo,147,2005>...,Diesel,1.9Jtd,136 hp,175 hp,+ 39 hp,305 Nm,380 Nm,+ 75 Nm
Alfa Romeo,147,2001>2005,Diesel,1.9Jtd,140 hp,175 hp,+ 35 hp,305 Nm,380 Nm,+ 75 Nm
Alfa Romeo,147,2005>...,Diesel,1.9Jtd,126 hp,175 hp,+ 49 hp,330 Nm,380 Nm,+ 50 Nm
Alfa Romeo,147,2001>2005,Diesel,1.9Jtd,136 hp,175 hp,+ 39 hp,305 Nm,380 Nm,+ 75 Nm
Alfa Romeo,147,2005>...,Diesel,1.9Jtd,150 hp,185 hp,+ 35 hp,305 Nm,380 Nm,+ 75 Nm
Alfa Romeo,147,2001>2005,Diesel,1.9Jtd,115 hp,145 hp,+ 30 hp,275 Nm,330 Nm,+ 55 Nm
Alfa Romeo,147,2005>...,Diesel,1.9Jtd,115 hp,150 hp,+ 35 hp,275 Nm,350 Nm,+ 75 Nm
Alfa Romeo,147,2005>...,Diesel,1.9Jtd,100 hp,135 hp,+ 35 hp,200 Nm,265 Nm,+ 65 Nm
Alfa Romeo,147,2005>...,Diesel,1.9Jtd,120 hp,155 hp,+ 35 hp,285 Nm,360 Nm,+ 75 Nm
Alfa Romeo,147,2005>...,Diesel,1.9Jtd,170 hp,190 hp,+ 20 hp,330 Nm,390 Nm,+ 60 Nm
Alfa Romeo,147,2005>...,Gasoline,3.2  V6 GTA,250 hp,275 hp,+ 25 hp,300 Nm,325 Nm,+ 25 Nm
Alfa Romeo,147,2001>2005,Diesel,1.9Jtd,100 hp,135 hp,+ 35 hp,200 Nm,265 Nm,+ 65 Nm
Alfa Romeo,147,2005>...,Gasoline,2.0  TS,150 hp,165 hp,+ 15 hp,181 Nm,200 Nm,+ 19 Nm
Alfa Romeo,147,2001>2005,Gasoline,3.2  V6 GTA,250 hp,270 hp,+ 20 hp,300 Nm,320 Nm,+ 20 Nm
Alfa Romeo,156,2002>2005,Diesel,2.4Jtd,163 hp,220 hp,+ 57 hp,385 Nm,440 Nm,+ 55 Nm
Alfa Romeo,156,2002>2005,Diesel,1.9Jtd,150 hp,185 hp,+ 35 hp,305 Nm,380 Nm,+ 75 Nm
Alfa Romeo,156,1997>2003,Diesel,1.9Jtd,110 hp,140 hp,+ 30 hp,275 Nm,330 Nm,+ 55 Nm
Alfa Romeo,156,1997>2003,Diesel,1.9Jtd,105 hp,135 hp,+ 30 hp,255 Nm,310 Nm,+ 55 Nm
