brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
BMW,1M Coupé,2011>...,Gasoline,3.0i Biturbo,340 hp,375 hp,+ 35 hp,500 Nm,560 Nm,+ 60 Nm
BMW,M2,2016>...,Gasoline,M2 Competition,410 hp,500 hp,+ 90 hp,550 Nm,680 Nm,+ 130 Nm
BMW,M2,2016>...,Gasoline,M2,370 hp,410 hp,+ 40 hp,500 Nm,580 Nm,+ 80 Nm
BMW,M2,2016>...,Gasoline,M2 CS,455 hp,500 hp,+ 45 hp,550 Nm,680 Nm,+ 130 Nm
BMW,M3,09/2011>...,Gasoline,M3 CS,460 hp,500 hp,+ 40 hp,600 Nm,680 Nm,+ 80 Nm
BMW,M3,09/2011>...,Gasoline,M3 Competition,450 hp,500 hp,+ 50 hp,550 Nm,680 Nm,+ 130 Nm
BMW,M3,09/2011>...,Gasoline,M3 Grigio / Avus Edition,450 hp,500 hp,+ 50 hp,550 Nm,680 Nm,+ 130 Nm
BMW,M3,2005>09/2011,Gasoline,M3 E9x,420 hp,439 hp,+ 19 hp,400 Nm,430 Nm,+ 30 Nm
BMW,M3,1998>2005,Gasoline,E46 M3 CSL,360 hp,380 hp,+ 20 hp,370 Nm,390 Nm,+ 20 Nm
BMW,M3,1998>2005,Gasoline,E46 M3,343 hp,365 hp,+ 22 hp,365 Nm,390 Nm,+ 25 Nm
BMW,M3,09/2011>...,Gasoline,M3,431 hp,500 hp,+ 69 hp,550 Nm,680 Nm,+ 130 Nm
BMW,M4,2014>...,Gasoline,GTS,500 hp,530 hp,+ 30 hp,600 Nm,700 Nm,+ 100 Nm
BMW,M4,2014>...,Gasoline,M4 CS,460 hp,500 hp,+ 40 hp,600 Nm,680 Nm,+ 80 Nm
BMW,M4,2014>...,Gasoline,M4 Competition,450 hp,500 hp,+ 50 hp,550 Nm,680 Nm,+ 130 Nm
BMW,M4,2014>...,Gasoline,M4,431 hp,500 hp,+ 69 hp,550 Nm,680 Nm,+ 130 Nm
