brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Chevrolet,Aveo,2011>2015,Gasoline,1.2 16V,86 hp,95 hp,+ 9 hp,115 Nm,130 Nm,+ 15 Nm
Chevrolet,Aveo,2011>2015,Diesel,1.3 VCDi,95 hp,115 hp,+ 20 hp,200 Nm,250 Nm,+ 50 Nm
Chevrolet,Aveo,2011>2015,Gasoline,1.4T RS,140 hp,170 hp,+ 30 hp,200 Nm,270 Nm,+ 70 Nm
Chevrolet,Aveo,2011>2015,Diesel,1.3 VCDi,75 hp,95 hp,+ 20 hp,190 Nm,240 Nm,+ 50 Nm
Chevrolet,Camaro,2010>2016,Gasoline,6.2 V8,432 hp,450 hp,+ 18 hp,570 Nm,600 Nm,+ 30 Nm
Chevrolet,Camaro,2010>2016,Gasoline,6.2 V8,426 hp,445 hp,+ 19 hp,570 Nm,600 Nm,+ 30 Nm
Chevrolet,Camaro,2010>2016,Gasoline,6.2 V8,405 hp,425 hp,+ 20 hp,556 Nm,580 Nm,+ 24 Nm
Chevrolet,Camaro,2010>2016,Gasoline,3.6 V6,323 hp,335 hp,+ 12 hp,375 Nm,400 Nm,+ 25 Nm
Chevrolet,Camaro,2016>2019,Gasoline,6.2 V8,455 hp,475 hp,+ 20 hp,617 Nm,647 Nm,+ 30 Nm
Chevrolet,Camaro,2016>2019,Gasoline,6.2 V8 Supercharged,650 hp,670 hp,+ 20 hp,881 Nm,950 Nm,+ 69 Nm
Chevrolet,Camaro,2016>2019,Gasoline,2.0 T,272 hp,300 hp,+ 28 hp,390 Nm,450 Nm,+ 60 Nm
Chevrolet,Camaro,2016>2019,Gasoline,3.6 V6,335 hp,350 hp,+ 15 hp,385 Nm,410 Nm,+ 25 Nm
Chevrolet,Camaro,2010>2016,Gasoline,3.6 V6,305 hp,335 hp,+ 30 hp,375 Nm,400 Nm,+ 25 Nm
Chevrolet,Captiva,2012>2014,Diesel,2.2 VCDi,184 hp,200 hp,+ 16 hp,400 Nm,430 Nm,+ 30 Nm
Chevrolet,Captiva,2006>2011,Diesel,2.0 VCDi,127 hp,185 hp,+ 58 hp,295 Nm,400 Nm,+ 105 Nm
Chevrolet,Captiva,2012>2014,Diesel,2.2 VCDi,163 hp,200 hp,+ 37 hp,350 Nm,430 Nm,+ 80 Nm
