brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Citroën,Berlingo,2000>2015,Diesel,1.6 Hdi,75 hp,115 hp,+ 40 hp,175 Nm,260 Nm,+ 85 Nm
Citroën,Berlingo,2018>...,Diesel,1.5 BlueHDi,130 hp,160 hp,+ 30 hp,300 Nm,350 Nm,+ 50 Nm
Citroën,Berlingo,2018>...,Diesel,1.5 BlueHDi,100 hp,140 hp,+ 40 hp,250 Nm,340 Nm,+ 90 Nm
Citroën,Berlingo,2000>2015,Diesel,2.0 Hdi,109 hp,136 hp,+ 27 hp,250 Nm,290 Nm,+ 40 Nm
Citroën,Berlingo,2018>...,Diesel,1.5 BlueHDI,75 hp,115 hp,+ 40 hp,230 Nm,300 Nm,+ 70 Nm
Citroën,Berlingo,2000>2015,Diesel,1.6 Hdi,110 hp,140 hp,+ 30 hp,240 Nm,330 Nm,+ 90 Nm
Citroën,Berlingo,2000>2015,Diesel,1.6 Hdi,112 hp,140 hp,+ 28 hp,270 Nm,330 Nm,+ 60 Nm
Citroën,Berlingo,2018>...,Gasoline,1.2 PureTech (GPF),130 hp,145 hp,+ 15 hp,230 Nm,250 Nm,+ 20 Nm
Citroën,Berlingo,2000>2015,Diesel,1.6 HDI,116 hp,140 hp,+ 24 hp,240 Nm,330 Nm,+ 90 Nm
Citroën,Berlingo,06/2015>2017,Diesel,1.6 BlueHDI,120 hp,145 hp,+ 25 hp,300 Nm,350 Nm,+ 50 Nm
Citroën,Berlingo,2000>2015,Diesel,1.6 Hdi,92 hp,115 hp,+ 23 hp,230 Nm,260 Nm,+ 30 Nm
Citroën,Berlingo,2000>2015,Diesel,2.0 Hdi,90 hp,115 hp,+ 25 hp,205 Nm,250 Nm,+ 45 Nm
Citroën,Berlingo,2000>2015,Diesel,1.6 Hdi,90 hp,115 hp,+ 25 hp,215 Nm,260 Nm,+ 45 Nm
Citroën,Berlingo,06/2015>2017,Diesel,1.6 BlueHDI,100 hp,130 hp,+ 30 hp,254 Nm,320 Nm,+ 66 Nm
Citroën,Berlingo,06/2015>2017,Gasoline,1.2T PureTech,110 hp,145 hp,+ 35 hp,205 Nm,270 Nm,+ 65 Nm
Citroën,Berlingo,06/2015>2017,Diesel,1.6 BlueHDI,75 hp,120 hp,+ 45 hp,230 Nm,280 Nm,+ 50 Nm
Citroën,Berlingo,2018>...,Gasoline,1.2 PureTech (GPF),110 hp,145 hp,+ 35 hp,205 Nm,250 Nm,+ 45 Nm
Citroën,C- Elysée,06/2012>...,Diesel,1.6 e-HDI,92 hp,115 hp,+ 23 hp,230 Nm,260 Nm,+ 30 Nm
Citroën,C- Elysée,11/2016>...,Diesel,1.6 BlueHDI,100 hp,130 hp,+ 30 hp,254 Nm,320 Nm,+ 66 Nm
Citroën,C-Crosser,2007>2013,Diesel,2.2HDi,156 hp,185 hp,+ 29 hp,380 Nm,430 Nm,+ 50 Nm
Citroën,C1,06/2005>...,Diesel,1.4 HDi,55 hp,80 hp,+ 25 hp,130 Nm,170 Nm,+ 40 Nm
Citroën,C2,09/2003>11/2009,Diesel,1.6 HDi,110 hp,136 hp,+ 26 hp,240 Nm,320 Nm,+ 80 Nm
Citroën,C2,09/2003>11/2009,Gasoline,1.6 16v VTS,125 hp,137 hp,+ 12 hp,140 Nm,160 Nm,+ 20 Nm
Citroën,C2,09/2003>11/2009,Diesel,1.4HDi,68 hp,90 hp,+ 22 hp,160 Nm,210 Nm,+ 50 Nm
Citroën,C3 / C3 Picasso,2009>2016,Diesel,1.6 HDi,110 hp,136 hp,+ 26 hp,240 Nm,300 Nm,+ 60 Nm
Citroën,C3 / C3 Picasso,11/2016>2020,Gasoline,1.2T PureTech,110 hp,145 hp,+ 35 hp,205 Nm,270 Nm,+ 65 Nm
Citroën,C3 / C3 Picasso,2002>2009,Diesel,1.6 HDi,110 hp,136 hp,+ 26 hp,240 Nm,300 Nm,+ 60 Nm
Citroën,C3 / C3 Picasso,2009>2016,Diesel,1.6 BlueHDI,75 hp,120 hp,+ 45 hp,230 Nm,280 Nm,+ 50 Nm
Citroën,C3 / C3 Picasso,11/2016>2020,Diesel,1.6 BlueHDI,75 hp,120 hp,+ 45 hp,230 Nm,280 Nm,+ 50 Nm
Citroën,C3 / C3 Picasso,05/2020>...,Diesel,1.5 BlueHDi,100 hp,140 hp,+ 40 hp,250 Nm,340 Nm,+ 90 Nm
Citroën,C3 / C3 Picasso,2009>2016,Diesel,1.6 HDi,92 hp,115 hp,+ 23 hp,230 Nm,260 Nm,+ 30 Nm
Citroën,C3 / C3 Picasso,2009>2016,Diesel,1.6 HDi,112 hp,140 hp,+ 28 hp,270 Nm,330 Nm,+ 60 Nm
Citroën,C3 / C3 Picasso,11/2016>2020,Diesel,1.6 BlueHDI,100 hp,130 hp,+ 30 hp,254 Nm,320 Nm,+ 66 Nm
Citroën,C3 / C3 Picasso,2009>2016,Diesel,1.6 BlueHDI,100 hp,130 hp,+ 30 hp,254 Nm,320 Nm,+ 66 Nm
Citroën,C3 / C3 Picasso,11/2016>2020,Gasoline,1.2 PureTech (GPF),110 hp,145 hp,+ 35 hp,205 Nm,250 Nm,+ 45 Nm
Citroën,C3 / C3 Picasso,05/2020>...,Gasoline,1.2 PureTech (GPF),110 hp,145 hp,+ 35 hp,205 Nm,250 Nm,+ 45 Nm
Citroën,C3 / C3 Picasso,2009>2016,Diesel,1.6 HDi,90 hp,115 hp,+ 25 hp,215 Nm,260 Nm,+ 45 Nm
Citroën,C3 / C3 Picasso,2002>2009,Diesel,1.6 HDi,90 hp,115 hp,+ 25 hp,215 Nm,260 Nm,+ 45 Nm
Citroën,C3 / C3 Picasso,2009>2016,Gasoline,1.6 VTi,120 hp,135 hp,+ 15 hp,160 Nm,180 Nm,+ 20 Nm
Citroën,C3 / C3 Picasso,2009>2016,Diesel,1.4 HDi,70 hp,90 hp,+ 20 hp,160 Nm,210 Nm,+ 50 Nm
Citroën,C3 / C3 Picasso,2002>2009,Diesel,1.4 HDi,70 hp,90 hp,+ 20 hp,160 Nm,210 Nm,+ 50 Nm
Citroën,C3 Aircross,10/2017>...,Gasoline,1.2T PureTech,110 hp,145 hp,+ 35 hp,205 Nm,270 Nm,+ 65 Nm
Citroën,C3 Aircross,10/2017>...,Gasoline,1.2T PureTech,130 hp,145 hp,+ 15 hp,230 Nm,270 Nm,+ 40 Nm
Citroën,C3 Aircross,10/2017>...,Gasoline,1.2 PureTech (GPF),110 hp,145 hp,+ 35 hp,205 Nm,250 Nm,+ 45 Nm
Citroën,C3 Aircross,10/2017>...,Gasoline,1.2 PureTech (GPF),130 hp,145 hp,+ 15 hp,230 Nm,250 Nm,+ 20 Nm
Citroën,C3 Aircross,10/2017>...,Diesel,1.6 BlueHDi,100 hp,130 hp,+ 30 hp,254 Nm,320 Nm,+ 66 Nm
Citroën,C3 Aircross,10/2017>...,Diesel,1.6 BlueHDi,120 hp,145 hp,+ 25 hp,254 Nm,350 Nm,+ 96 Nm
Citroën,C4,2015>2020,Diesel,1.6 BlueHDI,100 hp,130 hp,+ 30 hp,254 Nm,320 Nm,+ 66 Nm
Citroën,C4,2010>2014,Gasoline,1.6 VTi,120 hp,135 hp,+ 15 hp,160 Nm,180 Nm,+ 20 Nm
Citroën,C4,2005>2010,Diesel,1.6 HDi,90 hp,115 hp,+ 25 hp,215 Nm,260 Nm,+ 45 Nm
Citroën,C4,2005>2010,Diesel,1.6 HDi,110 hp,140 hp,+ 30 hp,240 Nm,330 Nm,+ 90 Nm
Citroën,C4,2010>2014,Diesel,2.0 HDi,163 hp,190 hp,+ 27 hp,340 Nm,400 Nm,+ 60 Nm
Citroën,C4,2015>2020,Gasoline,1.2 PureTech (GPF),110 hp,145 hp,+ 35 hp,205 Nm,250 Nm,+ 45 Nm
Citroën,C4,12/2020>...,Gasoline,1.2 PureTech (GPF),130 hp,145 hp,+ 15 hp,230 Nm,250 Nm,+ 20 Nm
