brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
DS,DS3,2009>2016,Gasoline,1.2T PureTech,110 hp,145 hp,+ 35 hp,205 Nm,270 Nm,+ 65 Nm
DS,DS3,2016>2020,Diesel,1.6 BlueHDi,100 hp,130 hp,+ 30 hp,254 Nm,330 Nm,+ 76 Nm
DS,DS3,2009>2016,Gasoline,1.6 THP,202 hp,220 hp,+ 18 hp,275 Nm,360 Nm,+ 85 Nm
DS,DS3,2016>2020,Gasoline,1.6 THP,165 hp,190 hp,+ 25 hp,240 Nm,320 Nm,+ 80 Nm
DS,DS3,2016>2020,Diesel,1.6 BlueHDi,120 hp,145 hp,+ 25 hp,285 Nm,350 Nm,+ 65 Nm
DS,DS3,2009>2016,Gasoline,1.6 THP,165 hp,190 hp,+ 25 hp,240 Nm,320 Nm,+ 80 Nm
DS,DS3,2009>2016,Diesel,1.4 HDi,68 hp,90 hp,+ 22 hp,160 Nm,210 Nm,+ 50 Nm
DS,DS3,2016>2020,Gasoline,1.2 PureTech (GPF),130 hp,145 hp,+ 15 hp,230 Nm,250 Nm,+ 20 Nm
DS,DS3,2009>2016,Diesel,1.6 HDi,90 hp,115 hp,+ 25 hp,230 Nm,275 Nm,+ 45 Nm
DS,DS3,2009>2016,Diesel,1.6 HDi,112 hp,140 hp,+ 28 hp,270 Nm,330 Nm,+ 60 Nm
DS,DS3,2016>2020,Gasoline,1.6 THP - Performance,208 hp,220 hp,+ 12 hp,300 Nm,360 Nm,+ 60 Nm
DS,DS3,2009>2016,Diesel,1.6 BlueHDi,100 hp,130 hp,+ 30 hp,254 Nm,320 Nm,+ 66 Nm
DS,DS3,2016>2020,Gasoline,1.2T PureTech,130 hp,145 hp,+ 15 hp,230 Nm,270 Nm,+ 40 Nm
DS,DS3,2009>2016,Gasoline,1.6 THP,150 hp,190 hp,+ 40 hp,240 Nm,300 Nm,+ 60 Nm
