brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Fiat,124 Spider,2016>...,Gasoline,1.4 Multiair,140 hp,180 hp,+ 40 hp,240 Nm,300 Nm,+ 60 Nm
Fiat,124 Spider,2016>...,Gasoline,1.4 Multiair,170 hp,180 hp,+ 10 hp,250 Nm,300 Nm,+ 50 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,0.9 TwinAir,105 hp,110 hp,+ 5 hp,145 Nm,190 Nm,+ 45 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,Abarth 595 1.4 Tjet,160 hp,170 hp,+ 10 hp,230 Nm,300 Nm,+ 70 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,Abarth 595 1.4 T,145 hp,170 hp,+ 25 hp,210 Nm,300 Nm,+ 90 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,Abarth EsseEsse 1.4 Tjet,160 hp,170 hp,+ 10 hp,234 Nm,300 Nm,+ 66 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,Abarth 595 Esse Esse 1.4 T,160 hp,170 hp,+ 10 hp,230 Nm,300 Nm,+ 70 Nm
Fiat,500 / 595 / 695,2007>2015,Diesel,1.3 MultiJet,75 hp,100 hp,+ 25 hp,145 Nm,245 Nm,+ 100 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,Abarth 1.4 Tjet,135 hp,170 hp,+ 35 hp,206 Nm,300 Nm,+ 94 Nm
Fiat,500 / 595 / 695,2007>2015,Diesel,1.3 MultiJet,95 hp,120 hp,+ 25 hp,200 Nm,250 Nm,+ 50 Nm
Fiat,500 / 595 / 695,2015>...,Diesel,1.3 Multijet,95 hp,120 hp,+ 25 hp,200 Nm,250 Nm,+ 50 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,Abarth 1.4 Tjet,140 hp,170 hp,+ 30 hp,206 Nm,300 Nm,+ 94 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,Abarth 595 1.4 T,140 hp,170 hp,+ 30 hp,206 Nm,300 Nm,+ 94 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,Abarth 695 Biposto - 1.4 T,190 hp,220 hp,+ 30 hp,250 Nm,340 Nm,+ 90 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,Abarth 595 Competizione / Rivale / Esse Esse - 1.4 T,180 hp,200 hp,+ 20 hp,250 Nm,300 Nm,+ 50 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,Abarth 695 Biposto 1.4 Tjet,190 hp,220 hp,+ 30 hp,250 Nm,340 Nm,+ 90 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,Abarth 595 Competizione 1.4 Tjet,160 hp,170 hp,+ 10 hp,230 Nm,300 Nm,+ 70 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,Abarth 595 Pista 1.4 T,165 hp,200 hp,+ 35 hp,230 Nm,300 Nm,+ 70 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,Abarth Assetto Corse 1.4 Tjet,190 hp,220 hp,+ 30 hp,300 Nm,340 Nm,+ 40 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,Abarth 595 Turismo 1.4 T,165 hp,200 hp,+ 35 hp,230 Nm,300 Nm,+ 70 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,1.2 8V,69 hp,77 hp,+ 8 hp,102 Nm,112 Nm,+ 10 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,Abarth 695 Tributo Maserati 1.4 Tjet,180 hp,200 hp,+ 20 hp,230 Nm,300 Nm,+ 70 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,Abarth 595 Turismo 1.4 T,160 hp,170 hp,+ 10 hp,230 Nm,300 Nm,+ 70 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,Abarth 695 XSR 1.4 T,163 hp,180 hp,+ 17 hp,230 Nm,300 Nm,+ 70 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,Abarth 595 Competizione 1.4 Tjet,180 hp,200 hp,+ 20 hp,230 Nm,300 Nm,+ 70 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,Abarth 695 Tributo Ferrari 1.4 Tjet,180 hp,200 hp,+ 20 hp,230 Nm,300 Nm,+ 70 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,Abarth 595 Pista 1.4 T,160 hp,170 hp,+ 10 hp,230 Nm,300 Nm,+ 70 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,1.4i 16v,100 hp,112 hp,+ 12 hp,131 Nm,146 Nm,+ 15 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,1.2 8v,70 hp,77 hp,+ 7 hp,102 Nm,112 Nm,+ 10 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,Abarth 595 1.4 T,135 hp,170 hp,+ 35 hp,206 Nm,300 Nm,+ 94 Nm
Fiat,500 / 595 / 695,2015>...,Gasoline,0.9 TwinAir,85 hp,95 hp,+ 10 hp,145 Nm,190 Nm,+ 45 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,0.9 TwinAir,85 hp,95 hp,+ 10 hp,145 Nm,190 Nm,+ 45 Nm
Fiat,500 / 595 / 695,2007>2015,Gasoline,0.9 TwinAir,105 hp,110 hp,+ 5 hp,145 Nm,190 Nm,+ 45 Nm
Fiat,500L,2012>2017,Gasoline,1.4 T-Jet,120 hp,165 hp,+ 45 hp,215 Nm,280 Nm,+ 65 Nm
Fiat,500L,2017>...,Diesel,1.3 Multijet,95 hp,120 hp,+ 25 hp,200 Nm,250 Nm,+ 50 Nm
Fiat,500L,2012>2017,Gasoline,1.4i 16v,95 hp,105 hp,+ 10 hp,127 Nm,140 Nm,+ 13 Nm
Fiat,500L,2012>2017,Diesel,1.6 MultiJet,105 hp,135 hp,+ 30 hp,320 Nm,380 Nm,+ 60 Nm
Fiat,500L,2012>2017,Diesel,1.6 MultiJet,120 hp,155 hp,+ 35 hp,320 Nm,380 Nm,+ 60 Nm
Fiat,500L,2017>...,Diesel,1.6 Multijet,120 hp,155 hp,+ 35 hp,320 Nm,380 Nm,+ 60 Nm
Fiat,500L,2017>...,Gasoline,1.4i 16v,95 hp,105 hp,+ 10 hp,127 Nm,140 Nm,+ 13 Nm
Fiat,500L,2012>2017,Gasoline,0.9 TwinAir,85 hp,95 hp,+ 10 hp,140 Nm,190 Nm,+ 50 Nm
Fiat,500L,2012>2017,Diesel,1.3 MultiJet,85 hp,110 hp,+ 25 hp,200 Nm,250 Nm,+ 50 Nm
Fiat,500L,2012>2017,Gasoline,0.9 TwinAir,105 hp,110 hp,+ 5 hp,145 Nm,190 Nm,+ 45 Nm
Fiat,500L,2012>2017,Diesel,1.3 Multijet,95 hp,120 hp,+ 25 hp,200 Nm,250 Nm,+ 50 Nm
Fiat,500X,2014>2018,Gasoline,1.4 Multiair,140 hp,165 hp,+ 25 hp,230 Nm,300 Nm,+ 70 Nm
Fiat,500X,2014>2018,Gasoline,1.4 Multiair,170 hp,180 hp,+ 10 hp,250 Nm,300 Nm,+ 50 Nm
Fiat,500X,2018>...,Gasoline,1.0 GSE T3,120 hp,140 hp,+ 20 hp,190 Nm,230 Nm,+ 40 Nm
Fiat,500X,2018>...,Gasoline,0.9 TwinAir,85 hp,95 hp,+ 10 hp,145 Nm,190 Nm,+ 45 Nm
Fiat,500X,2014>2018,Diesel,1.6 MultiJet,120 hp,155 hp,+ 35 hp,320 Nm,380 Nm,+ 60 Nm
Fiat,500X,2014>2018,Diesel,1.3 Multijet,95 hp,120 hp,+ 25 hp,200 Nm,250 Nm,+ 50 Nm
Fiat,500X,2018>...,Diesel,1.3 MJT,95 hp,120 hp,+ 25 hp,200 Nm,250 Nm,+ 50 Nm
Fiat,500X,2018>...,Diesel,2.0 MJT,150 hp,185 hp,+ 35 hp,350 Nm,400 Nm,+ 50 Nm
Fiat,500X,2018>...,Gasoline,1.3 GSE T4,150 hp,170 hp,+ 20 hp,270 Nm,310 Nm,+ 40 Nm
Fiat,500X,2014>2018,Diesel,2.0 MultiJet,140 hp,185 hp,+ 45 hp,350 Nm,400 Nm,+ 50 Nm
Fiat,500X,2018>...,Diesel,1.6 MJT,120 hp,155 hp,+ 35 hp,320 Nm,380 Nm,+ 60 Nm
Fiat,Brava,...>2002,Diesel,1.9 JTD,105 hp,136 hp,+ 31 hp,200 Nm,265 Nm,+ 65 Nm
Fiat,Brava,...>2002,Diesel,1.9 JTD,100 hp,130 hp,+ 30 hp,200 Nm,266 Nm,+ 66 Nm
Fiat,Brava,...>2002,Diesel,1.6 JTDm,105 hp,130 hp,+ 25 hp,290 Nm,360 Nm,+ 70 Nm
Fiat,Bravo,2007>2015,Diesel,1.9 JTDm,120 hp,155 hp,+ 35 hp,255 Nm,360 Nm,+ 105 Nm
Fiat,Bravo,2007>2015,Gasoline,1.4 Tjet,155 hp,175 hp,+ 20 hp,230 Nm,280 Nm,+ 50 Nm
Fiat,Bravo,2007>2015,Diesel,2.0 Mjet,150 hp,180 hp,+ 30 hp,367 Nm,440 Nm,+ 73 Nm
Fiat,Bravo,2007>2015,Diesel,2.0 Mjet,163 hp,200 hp,+ 37 hp,360 Nm,425 Nm,+ 65 Nm
Fiat,Bravo,2007>2015,Diesel,1.9 JTDm,90 hp,155 hp,+ 65 hp,210 Nm,360 Nm,+ 150 Nm
Fiat,Bravo,2007>2015,Diesel,2.0 Mjet,135 hp,165 hp,+ 30 hp,320 Nm,380 Nm,+ 60 Nm
Fiat,Bravo,2000>2007,Diesel,1.9 JTD,100 hp,130 hp,+ 30 hp,200 Nm,290 Nm,+ 90 Nm
Fiat,Bravo,2007>2015,Gasoline,1.4 Tjet,120 hp,165 hp,+ 45 hp,206 Nm,280 Nm,+ 74 Nm
Fiat,Bravo,2007>2015,Gasoline,1.4 Multiair,140 hp,165 hp,+ 25 hp,230 Nm,300 Nm,+ 70 Nm
Fiat,Bravo,2007>2015,Diesel,1.6 JTDm,90 hp,130 hp,+ 40 hp,280 Nm,360 Nm,+ 80 Nm
Fiat,Bravo,2007>2015,Diesel,1.6 JTDm,105 hp,130 hp,+ 25 hp,290 Nm,360 Nm,+ 70 Nm
Fiat,Bravo,2000>2007,Diesel,1.9 JTD,105 hp,136 hp,+ 31 hp,200 Nm,265 Nm,+ 65 Nm
Fiat,Bravo,2007>2015,Diesel,1.9 JTDm 16v,150 hp,185 hp,+ 35 hp,305 Nm,380 Nm,+ 75 Nm
Fiat,Bravo,2007>2015,Diesel,1.9 JTDm,115 hp,155 hp,+ 40 hp,255 Nm,360 Nm,+ 105 Nm
Fiat,Bravo,2000>2007,Diesel,1.9 JTD,115 hp,145 hp,+ 30 hp,203 Nm,257 Nm,+ 54 Nm
Fiat,Bravo,2007>2015,Diesel,1.6 JTDm,120 hp,145 hp,+ 25 hp,300 Nm,380 Nm,+ 80 Nm
Fiat,Croma,2008>...,Diesel,1.9 Jtd,150 hp,180 hp,+ 30 hp,305 Nm,380 Nm,+ 75 Nm
