brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Ford,B-Max,2011>...,Gasoline,1.0T Ecoboost,100 hp,145 hp,+ 45 hp,170 Nm,240 Nm,+ 70 Nm
Ford,B-Max,2011>...,Gasoline,1.0T Ecoboost,120 hp,145 hp,+ 25 hp,200 Nm,240 Nm,+ 40 Nm
Ford,B-Max,2011>...,Diesel,1.5 TDCI,75 hp,95 hp,+ 20 hp,185 Nm,250 Nm,+ 65 Nm
Ford,B-Max,2011>...,Diesel,1.6 TDCI,95 hp,120 hp,+ 25 hp,215 Nm,270 Nm,+ 55 Nm
Ford,B-Max,2011>...,Gasoline,1.6 Ti-VCT,105 hp,140 hp,+ 35 hp,150 Nm,175 Nm,+ 25 Nm
Ford,B-Max,2011>...,Diesel,1.5 TDCi,95 hp,115 hp,+ 20 hp,270 Nm,330 Nm,+ 60 Nm
Ford,B-Max,2011>...,Gasoline,1.0T Ecoboost,125 hp,145 hp,+ 20 hp,200 Nm,240 Nm,+ 40 Nm
Ford,Bronco,2020>...,Gasoline,3.5T Ecoboost,380 hp, hp,0 hp,456 Nm, Nm,0 Nm
Ford,Bronco,2020>...,Gasoline,2.7T Ecoboost,330 hp, hp,0 hp,542 Nm, Nm,0 Nm
Ford,Bronco,2020>...,Gasoline,2.3 Ecoboost,274 hp, hp,0 hp,420 Nm, Nm,0 Nm
Ford,C-Max,2015>...,Diesel,1.5 TDCi,120 hp,140 hp,+ 20 hp,270 Nm,330 Nm,+ 60 Nm
Ford,C-Max,2011>2015,Gasoline,1.6T Ecoboost,182 hp,205 hp,+ 23 hp,240 Nm,300 Nm,+ 60 Nm
Ford,C-Max,2015>...,Diesel,1.5 TDCi,105 hp,125 hp,+ 20 hp,270 Nm,330 Nm,+ 60 Nm
Ford,C-Max,2015>...,Diesel,2.0 TDCi,150 hp,200 hp,+ 50 hp,370 Nm,450 Nm,+ 80 Nm
Ford,C-Max,2015>...,Diesel,1.5 TDCi,95 hp,115 hp,+ 20 hp,250 Nm,330 Nm,+ 80 Nm
Ford,C-Max,2011>2015,Gasoline,1.6T Ecoboost,150 hp,205 hp,+ 55 hp,240 Nm,300 Nm,+ 60 Nm
Ford,C-Max,2015>...,Gasoline,1.5 Ecoboost,150 hp,190 hp,+ 40 hp,240 Nm,340 Nm,+ 100 Nm
Ford,C-Max,2015>...,Diesel,2.0 TDCi,170 hp,200 hp,+ 30 hp,370 Nm,450 Nm,+ 80 Nm
