brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Honda,Accord,2003>2015,Diesel,2.2 CTDi,140 hp,185 hp,+ 45 hp,340 Nm,400 Nm,+ 60 Nm
Honda,Accord,2003>2015,Diesel,2.2 i-DTEC,150 hp,185 hp,+ 35 hp,350 Nm,420 Nm,+ 70 Nm
Honda,Accord,2003>2015,Diesel,2.2 i-DTEC,180 hp,210 hp,+ 30 hp,380 Nm,440 Nm,+ 60 Nm
Honda,CR-V,11/2012>...,Diesel,2.2 iDTEC,150 hp,185 hp,+ 35 hp,350 Nm,420 Nm,+ 70 Nm
Honda,CR-V,11/2012>...,Diesel,1.6 iDTEC,160 hp,190 hp,+ 30 hp,350 Nm,410 Nm,+ 60 Nm
Honda,CR-V,11/2012>...,Diesel,1.6 iDTEC,120 hp,165 hp,+ 45 hp,300 Nm,380 Nm,+ 80 Nm
Honda,CR-V,11/2012>...,Diesel,2.2 iDTEC,180 hp,210 hp,+ 30 hp,350 Nm,440 Nm,+ 90 Nm
Honda,CR-V,2007>2012,Diesel,2.2 CTDi,140 hp,185 hp,+ 45 hp,340 Nm,400 Nm,+ 60 Nm
Honda,CR-V,2007>2012,Diesel,2.2 i-DTEC,150 hp,185 hp,+ 35 hp,350 Nm,420 Nm,+ 70 Nm
Honda,Civic,2013>2016,Diesel,1.6 i-DTEC,120 hp,165 hp,+ 45 hp,300 Nm,380 Nm,+ 80 Nm
Honda,Civic,2013>2016,Gasoline,2.0T Type R,310 hp,350 hp,+ 40 hp,400 Nm,500 Nm,+ 100 Nm
Honda,Civic,2017>2020,Diesel,1.6 i-DTEC,120 hp,150 hp,+ 30 hp,300 Nm,360 Nm,+ 60 Nm
Honda,Civic,2013>2016,Diesel,2.2 i-DTEC,150 hp,185 hp,+ 35 hp,350 Nm,420 Nm,+ 70 Nm
Honda,Civic,2006>2012,Diesel,2.2 i-DTEC,150 hp,185 hp,+ 35 hp,350 Nm,420 Nm,+ 70 Nm
Honda,Civic,2006>2012,Diesel,2.2 CTDi,140 hp,185 hp,+ 45 hp,340 Nm,400 Nm,+ 60 Nm
Honda,Civic,2017>2020,Gasoline,2.0T Type R,320 hp,360 hp,+ 40 hp,400 Nm,500 Nm,+ 100 Nm
Honda,Civic,01/2020>...,Gasoline,1.5T VTec,182 hp,220 hp,+ 38 hp,240 Nm,300 Nm,+ 60 Nm
Honda,Civic,2017>2020,Gasoline,1.5T VTec,182 hp,220 hp,+ 38 hp,240 Nm,300 Nm,+ 60 Nm
Honda,Civic,2006>2012,Gasoline,Type R - 2.0 i-VTEC,201 hp,216 hp,+ 15 hp,193 Nm,210 Nm,+ 17 Nm
Honda,Civic,01/2020>...,Gasoline,2.0T Type R (GPF),320 hp,360 hp,+ 40 hp,400 Nm,500 Nm,+ 100 Nm
Honda,Civic,2017>2020,Gasoline,1.0T VTec,129 hp,150 hp,+ 21 hp,200 Nm,250 Nm,+ 50 Nm
Honda,Civic,2002>2005,Diesel,1.7 CTDI,100 hp,130 hp,+ 30 hp,220 Nm,270 Nm,+ 50 Nm
Honda,Civic,01/2020>...,Diesel,1.6 iDTEC,120 hp,165 hp,+ 45 hp,300 Nm,380 Nm,+ 80 Nm
Honda,FR-V,2004>2010,Diesel,2.2 CTDi,140 hp,185 hp,+ 45 hp,340 Nm,400 Nm,+ 60 Nm
Honda,HR-V,2015>2018,Diesel,1.6 i-DTEC,120 hp,165 hp,+ 45 hp,300 Nm,380 Nm,+ 80 Nm
Honda,HR-V,2018>...,Diesel,1.6 i-DTEC,120 hp,165 hp,+ 45 hp,300 Nm,380 Nm,+ 80 Nm
Honda,NSX,2017>...,Gasoline,3.5 V6 Bi Turbo,580 hp, hp,0 hp,645 Nm, Nm,0 Nm
Honda,Stepwgn,2015>...,Gasoline,1.5T VTec,150 hp,220 hp,+ 70 hp,203 Nm,300 Nm,+ 97 Nm
Honda,UR-V,2017>...,Gasoline,2.0T,272 hp,360 hp,+ 88 hp,370 Nm,500 Nm,+ 130 Nm
