brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Hyundai,Accent,2000>2006,Diesel,1.5 CRDI,82 hp,102 hp,+ 20 hp,184 Nm,234 Nm,+ 50 Nm
Hyundai,Accent,2000>2006,Diesel,1.5 CRDI,110 hp,130 hp,+ 20 hp,240 Nm,285 Nm,+ 45 Nm
Hyundai,Accent,2000>2006,Diesel,1.6 CRDi,90 hp,130 hp,+ 40 hp,235 Nm,300 Nm,+ 65 Nm
Hyundai,Accent,2000>2006,Diesel,1.6 CRDi,110 hp,155 hp,+ 45 hp,255 Nm,320 Nm,+ 65 Nm
Hyundai,Avante Sport,2017>...,Gasoline,1.6T-GDI,201 hp,220 hp,+ 19 hp,265 Nm,325 Nm,+ 60 Nm
Hyundai,Azera,2007>2009,Diesel,2.2CRDI vgt,150 hp,180 hp,+ 30 hp,340 Nm,400 Nm,+ 60 Nm
Hyundai,Elantra,2017>...,Gasoline,1.6T-GDI,201 hp,220 hp,+ 19 hp,265 Nm,325 Nm,+ 60 Nm
Hyundai,Elantra,2007>...,Gasoline,1.6 MPI,132 hp,147 hp,+ 15 hp,157 Nm,177 Nm,+ 20 Nm
Hyundai,Genesis,2011>...,Gasoline,2.0T,275 hp, hp,0 hp,372 Nm, Nm,0 Nm
Hyundai,Genesis,2011>...,Gasoline,3.3 V6 Bi-Turbo,375 hp,400 hp,+ 25 hp,510 Nm,610 Nm,+ 100 Nm
Hyundai,Genesis,2011>...,Gasoline,2.0T,209 hp,240 hp,+ 31 hp,299 Nm,370 Nm,+ 71 Nm
Hyundai,Getz,2003>2010,Diesel,1.5 CRDI,110 hp,130 hp,+ 20 hp,235 Nm,285 Nm,+ 50 Nm
Hyundai,Getz,2003>2010,Diesel,1.5 CRDI,82 hp,102 hp,+ 20 hp,187 Nm,230 Nm,+ 43 Nm
Hyundai,Getz,2003>2010,Diesel,1.5 CRDI,88 hp,104 hp,+ 16 hp,215 Nm,250 Nm,+ 35 Nm
