brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Kia,Carens,04/2013>2016,Diesel,1.7 CRDi,115 hp,145 hp,+ 30 hp,255 Nm,325 Nm,+ 70 Nm
Kia,Carens,2016>...,Diesel,1.7 CRDI,115 hp,150 hp,+ 35 hp,260 Nm,310 Nm,+ 50 Nm
Kia,Carens,2016>...,Diesel,1.7 CRDI,141 hp,170 hp,+ 29 hp,340 Nm,380 Nm,+ 40 Nm
Kia,Carens,09/2002>2011,Diesel,2.0 CDRi,115 hp,142 hp,+ 27 hp,245 Nm,300 Nm,+ 55 Nm
Kia,Carens,04/2013>2016,Diesel,1.7 CRDi,136 hp,160 hp,+ 24 hp,325 Nm,380 Nm,+ 55 Nm
Kia,Carens,09/2002>2011,Diesel,2.0 CDRi,140 hp,170 hp,+ 30 hp,305 Nm,370 Nm,+ 65 Nm
Kia,Carnival,2002>2006,Diesel,2.9 CDRi,144 hp,171 hp,+ 27 hp,310 Nm,370 Nm,+ 60 Nm
Kia,Carnival,06/2006>04/2007,Diesel,2.9 CRDi vgt,185 hp,210 hp,+ 25 hp,343 Nm,410 Nm,+ 67 Nm
Kia,Carnival,2008>2011,Diesel,2.9 CDRi,185 hp,215 hp,+ 30 hp,343 Nm,410 Nm,+ 67 Nm
Kia,Cee'd,2010>2015,Diesel,1.4 CRDI,90 hp,125 hp,+ 35 hp,220 Nm,290 Nm,+ 70 Nm
Kia,Cee'd,2015>2018,Diesel,1.4 CRDi,90 hp,125 hp,+ 35 hp,220 Nm,290 Nm,+ 70 Nm
Kia,Cee'd,2010>2015,Diesel,1.4 CRDI,100 hp,125 hp,+ 25 hp,220 Nm,290 Nm,+ 70 Nm
Kia,Cee'd,2015>2018,Diesel,1.6 CRDi,110 hp,150 hp,+ 40 hp,260 Nm,330 Nm,+ 70 Nm
Kia,Cee'd,2015>2018,Diesel,1.6 CRDi,136 hp,165 hp,+ 29 hp,285 Nm,350 Nm,+ 65 Nm
Kia,Cee'd,2010>2015,Diesel,1.6 CRDi,128 hp,155 hp,+ 27 hp,255 Nm,320 Nm,+ 65 Nm
Kia,Cee'd,2018>...,Diesel,1.6 CRDi,115 hp, hp,0 hp,280 Nm, Nm,0 Nm
Kia,Cee'd,2010>2015,Diesel,1.6 CRDi,110 hp,145 hp,+ 35 hp,260 Nm,320 Nm,+ 60 Nm
Kia,Cee'd,2010>2015,Diesel,1.6 CRDi,115 hp,145 hp,+ 30 hp,255 Nm,325 Nm,+ 70 Nm
Kia,Cee'd,2018>...,Gasoline,1.4 T-GDI,140 hp,170 hp,+ 30 hp,242 Nm,290 Nm,+ 48 Nm
Kia,Cee'd,2018>...,Gasoline,GT - 1.6 T-GDI,204 hp,230 hp,+ 26 hp,265 Nm,320 Nm,+ 55 Nm
Kia,Cee'd,2010>2015,Diesel,1.6 CRDi,90 hp,130 hp,+ 40 hp,235 Nm,300 Nm,+ 65 Nm
Kia,Cee'd,2015>2018,Gasoline,GT 1.6 T-GDI,204 hp,230 hp,+ 26 hp,265 Nm,320 Nm,+ 55 Nm
Kia,Cee'd,2018>...,Diesel,1.6 CRDi,136 hp, hp,0 hp,280 Nm, Nm,0 Nm
Kia,Cee'd,2007>2010,Diesel,1.6 CRDi,115 hp,145 hp,+ 30 hp,255 Nm,320 Nm,+ 65 Nm
Kia,Cee'd,2010>2015,Gasoline,GT 1.6 T-GDI,204 hp,230 hp,+ 26 hp,265 Nm,320 Nm,+ 55 Nm
Kia,Cee'd,2018>...,Gasoline,1.0 T-GDi,120 hp,140 hp,+ 20 hp,171 Nm,230 Nm,+ 59 Nm
Kia,Cee'd,2010>2015,Gasoline,1.6 GDi,135 hp,150 hp,+ 15 hp,164 Nm,180 Nm,+ 16 Nm
Kia,Cee'd,2007>2010,Diesel,2.0 CRDi,140 hp,168 hp,+ 28 hp,305 Nm,371 Nm,+ 66 Nm
Kia,Cee'd,2007>2010,Diesel,1.6 CRDi,90 hp,145 hp,+ 55 hp,235 Nm,320 Nm,+ 85 Nm
Kia,Cee'd,2007>2010,Diesel,2.0 CRDi,136 hp,168 hp,+ 32 hp,305 Nm,371 Nm,+ 66 Nm
