brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Landrover,Defender,2019>...,Diesel,D240,240 hp, hp,0 hp,500 Nm, Nm,0 Nm
Landrover,Defender,2011>2019,Gasoline,5.0 V8,405 hp, hp,0 hp,515 Nm, Nm,0 Nm
Landrover,Defender,2019>...,Gasoline,P400,400 hp, hp,0 hp, Nm, Nm,0 Nm
Landrover,Defender,2019>...,Diesel,D200,200 hp, hp,0 hp, Nm, Nm,0 Nm
Landrover,Defender,2000>2007,Diesel,2.5 TD5,122 hp,152 hp,+ 30 hp,300 Nm,365 Nm,+ 65 Nm
Landrover,Defender,2007>2011,Diesel,2.4 TD4,122 hp,155 hp,+ 33 hp,360 Nm,420 Nm,+ 60 Nm
Landrover,Defender,2019>...,Diesel,D300,300 hp, hp,0 hp, Nm, Nm,0 Nm
Landrover,Defender,2011>2019,Diesel,2.2 TD4,122 hp,160 hp,+ 38 hp,360 Nm,420 Nm,+ 60 Nm
Landrover,Discovery,...>2016,Diesel,3.0 SDV6,255 hp,300 hp,+ 45 hp,600 Nm,650 Nm,+ 50 Nm
Landrover,Discovery,2017>...,Diesel,2.0 TD4,180 hp,210 hp,+ 30 hp,420 Nm,490 Nm,+ 70 Nm
Landrover,Discovery,2017>...,Diesel,3.0 SD6,306 hp,330 hp,+ 24 hp,700 Nm,750 Nm,+ 50 Nm
Landrover,Discovery,...>2016,Diesel,TD5 AUT,139 hp,159 hp,+ 20 hp,340 Nm,385 Nm,+ 45 Nm
Landrover,Discovery,...>2016,Diesel,2.5 TD5,138 hp,160 hp,+ 22 hp,300 Nm,350 Nm,+ 50 Nm
Landrover,Discovery,2017>...,Gasoline,2.0 Si4,300 hp,320 hp,+ 20 hp,400 Nm,450 Nm,+ 50 Nm
Landrover,Discovery,...>2016,Diesel,2.7 TDV6,190 hp,240 hp,+ 50 hp,440 Nm,520 Nm,+ 80 Nm
Landrover,Discovery,...>2016,Diesel,3.0 TDV6,245 hp,290 hp,+ 45 hp,520 Nm,660 Nm,+ 140 Nm
Landrover,Discovery,2017>...,Diesel,3.0 TD6,258 hp,300 hp,+ 42 hp,600 Nm,650 Nm,+ 50 Nm
Landrover,Discovery,...>2016,Diesel,3.0 TDV6,211 hp,290 hp,+ 79 hp,520 Nm,660 Nm,+ 140 Nm
Landrover,Discovery,2017>...,Diesel,2.0 SD4,240 hp,260 hp,+ 20 hp,500 Nm,550 Nm,+ 50 Nm
Landrover,Discovery Sport,2019>...,Gasoline,P250,250 hp,270 hp,+ 20 hp,365 Nm,440 Nm,+ 75 Nm
Landrover,Discovery Sport,2015>2019,Diesel,2.0 TD4,180 hp,210 hp,+ 30 hp,420 Nm,490 Nm,+ 70 Nm
Landrover,Discovery Sport,2015>2019,Gasoline,2.0 Si4,290 hp,320 hp,+ 30 hp,400 Nm,450 Nm,+ 50 Nm
