brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Mazda,BT-50,2006>2011,Diesel,2.5 MZR-CD,143 hp,180 hp,+ 37 hp,330 Nm,420 Nm,+ 90 Nm
Mazda,CX-3,2015>2018,Gasoline,2.0 Skyactiv-G,120 hp,165 hp,+ 45 hp,204 Nm,220 Nm,+ 16 Nm
Mazda,CX-3,2018>...,Gasoline,2.0 Skyactiv-G,120 hp,165 hp,+ 45 hp,204 Nm,220 Nm,+ 16 Nm
Mazda,CX-3,2015>2018,Gasoline,2.0 Skyactiv-G,150 hp,165 hp,+ 15 hp,204 Nm,220 Nm,+ 16 Nm
Mazda,CX-3,2018>...,Diesel,1.8 Skyactiv-D,115 hp, hp,0 hp,260 Nm, Nm,0 Nm
Mazda,CX-3,2015>2018,Diesel,1.5 Skyactiv-D,105 hp,130 hp,+ 25 hp,270 Nm,320 Nm,+ 50 Nm
Mazda,CX-3,2018>...,Gasoline,2.0 Skyactiv-G,150 hp,165 hp,+ 15 hp,204 Nm,220 Nm,+ 16 Nm
Mazda,CX-30,2019>...,Diesel,1.8 Skyactiv-D,116 hp, hp,0 hp,270 Nm, Nm,0 Nm
Mazda,CX-5,2015>2017,Diesel,2.2 Skyactiv-D,175 hp,210 hp,+ 35 hp,420 Nm,480 Nm,+ 60 Nm
Mazda,CX-5,2017>...,Diesel,2.2 Skyactiv-D,150 hp,210 hp,+ 60 hp,380 Nm,480 Nm,+ 100 Nm
Mazda,CX-5,2017>...,Gasoline,2.5 Skyactiv-G,194 hp, hp,0 hp,258 Nm, Nm,0 Nm
Mazda,CX-5,2012>2015,Gasoline,2.0 Skyactiv-G (2014 -> ...),165 hp,175 hp,+ 10 hp,210 Nm,220 Nm,+ 10 Nm
Mazda,CX-5,2015>2017,Diesel,2.2 Skyactiv-D,150 hp,210 hp,+ 60 hp,380 Nm,480 Nm,+ 100 Nm
Mazda,CX-5,2017>...,Gasoline,2.0 Skyactiv-G,165 hp,180 hp,+ 15 hp,213 Nm,225 Nm,+ 12 Nm
Mazda,CX-5,2012>2015,Diesel,2.2 Skyactiv-D,150 hp,210 hp,+ 60 hp,380 Nm,480 Nm,+ 100 Nm
Mazda,CX-5,2015>2017,Gasoline,2.0 Skyactiv-G,165 hp,175 hp,+ 10 hp,210 Nm,220 Nm,+ 10 Nm
Mazda,CX-5,2012>2015,Diesel,2.2 Skyactiv-D,175 hp,210 hp,+ 35 hp,420 Nm,480 Nm,+ 60 Nm
Mazda,CX-5,2015>2017,Gasoline,2.5 Skyactiv-G,192 hp, hp,0 hp,256 Nm, Nm,0 Nm
Mazda,CX-5,2017>...,Diesel,2.2 Skyactiv-D,184 hp,210 hp,+ 26 hp,445 Nm,480 Nm,+ 35 Nm
Mazda,CX-7,2007>2013,Diesel,2.2 CDVi,173 hp,205 hp,+ 32 hp,400 Nm,460 Nm,+ 60 Nm
Mazda,CX-7,2007>2013,Gasoline,2.3T,260 hp,305 hp,+ 45 hp,380 Nm,450 Nm,+ 70 Nm
Mazda,CX-7,2007>2013,Diesel,2.2 CDVi,163 hp,205 hp,+ 42 hp,400 Nm,460 Nm,+ 60 Nm
Mazda,MPS,All,Gasoline,2.3T MPS,260 hp,305 hp,+ 45 hp,380 Nm,450 Nm,+ 70 Nm
Mazda,MX5,2016>...,Gasoline,1.5 Skyactiv-G,132 hp,152 hp,+ 20 hp,152 Nm,162 Nm,+ 10 Nm
Mazda,MX5,2006>2015,Gasoline,1.8 MZR,125 hp,138 hp,+ 13 hp,167 Nm,182 Nm,+ 15 Nm
Mazda,MX5,2006>2015,Gasoline,2.0 MZR,160 hp,173 hp,+ 13 hp,188 Nm,203 Nm,+ 15 Nm
Mazda,MX5,2016>...,Gasoline,2.0 Skyactiv-G,160 hp,175 hp,+ 15 hp,200 Nm,215 Nm,+ 15 Nm
Mazda,MX5,2016>...,Gasoline,1.5 Skyactiv-G,131 hp,141 hp,+ 10 hp,150 Nm,160 Nm,+ 10 Nm
Mazda,MX5,2016>...,Gasoline,2.0 Skyactiv-G,184 hp,200 hp,+ 16 hp,205 Nm,215 Nm,+ 10 Nm
Mazda,Mazda 2,2007>2014,Diesel,1.6 MZ-CD,95 hp,120 hp,+ 25 hp,205 Nm,270 Nm,+ 65 Nm
Mazda,Mazda 2,2007>2014,Diesel,1.6 MZ-CD,90 hp,120 hp,+ 30 hp,210 Nm,270 Nm,+ 60 Nm
Mazda,Mazda 2,2014>2017,Gasoline,1.5 Skyactiv-G,115 hp,128 hp,+ 13 hp,148 Nm,158 Nm,+ 10 Nm
Mazda,Mazda 2,2014>2017,Gasoline,1.5 Skyactiv-G,75 hp,128 hp,+ 53 hp,135 Nm,158 Nm,+ 23 Nm
Mazda,Mazda 2,2018>...,Gasoline,1.5 Skyactiv-G,115 hp,128 hp,+ 13 hp,148 Nm,158 Nm,+ 10 Nm
Mazda,Mazda 2,2014>2017,Gasoline,1.5 Skyactiv-G,90 hp,128 hp,+ 38 hp,148 Nm,158 Nm,+ 10 Nm
Mazda,Mazda 2,2018>...,Gasoline,1.5 Skyactiv-G,90 hp,128 hp,+ 38 hp,148 Nm,158 Nm,+ 10 Nm
Mazda,Mazda 2,2007>2014,Diesel,1.4 CDVI,68 hp,90 hp,+ 22 hp,160 Nm,210 Nm,+ 50 Nm
Mazda,Mazda 2,2014>2017,Diesel,1.5 Skyactiv-D,105 hp,130 hp,+ 25 hp,220 Nm,260 Nm,+ 40 Nm
Mazda,Mazda 2,2014>2017,Diesel,1.3 Skyactiv-D,84 hp, hp,0 hp,112 Nm, Nm,0 Nm
Mazda,Mazda 3,05/2009>2013,Diesel,2.2 MZR-CD,185 hp,210 hp,+ 25 hp,400 Nm,460 Nm,+ 60 Nm
Mazda,Mazda 3,2016>2019,Diesel,2.2 Skyactiv-D,150 hp,210 hp,+ 60 hp,380 Nm,480 Nm,+ 100 Nm
