brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Mercedes,A / A Berline,2015>2018,Gasoline,250 Sport,218 hp,250 hp,+ 32 hp,350 Nm,400 Nm,+ 50 Nm
Mercedes,A / A Berline,2012>2015,Diesel,220 CDI,163 hp,200 hp,+ 37 hp,350 Nm,420 Nm,+ 70 Nm
Mercedes,A / A Berline,07/2004>2012,Diesel,200 CDI,136 hp,170 hp,+ 34 hp,300 Nm,360 Nm,+ 60 Nm
Mercedes,A / A Berline,05/2018>...,Gasoline,35 AMG,306 hp,345 hp,+ 39 hp,400 Nm,480 Nm,+ 80 Nm
Mercedes,A / A Berline,2015>2018,Diesel,200 CDI 4Matic,136 hp,210 hp,+ 74 hp,300 Nm,420 Nm,+ 120 Nm
Mercedes,A / A Berline,2015>2018,Diesel,200 CDI,136 hp,170 hp,+ 34 hp,300 Nm,380 Nm,+ 80 Nm
Mercedes,A / A Berline,05/2018>...,Gasoline(default),45 AMG,387 hp,460 hp,+ 73 hp,480 Nm,620 Nm,+ 140 Nm
Mercedes,A / A Berline,2015>2018,Gasoline,250,211 hp,250 hp,+ 39 hp,350 Nm,400 Nm,+ 50 Nm
Mercedes,A / A Berline,2012>2015,Diesel,200 CDI (2100cc),136 hp,170 hp,+ 34 hp,300 Nm,380 Nm,+ 80 Nm
Mercedes,A / A Berline,05/2018>...,Diesel,180D,116 hp,140 hp,+ 24 hp,260 Nm,310 Nm,+ 50 Nm
Mercedes,A / A Berline,05/2018>...,Gasoline,250 (2.0T),224 hp,250 hp,+ 26 hp,350 Nm,400 Nm,+ 50 Nm
Mercedes,A / A Berline,2012>2015,Gasoline,A220,184 hp,250 hp,+ 66 hp,300 Nm,400 Nm,+ 100 Nm
Mercedes,A / A Berline,2012>2015,Diesel,200 CDI 4Matic,136 hp,200 hp,+ 64 hp,300 Nm,420 Nm,+ 120 Nm
Mercedes,A / A Berline,2015>2018,Diesel,160 CDI,90 hp,135 hp,+ 45 hp,240 Nm,310 Nm,+ 70 Nm
Mercedes,A / A Berline,2012>2015,Gasoline,45 AMG,360 hp,400 hp,+ 40 hp,450 Nm,520 Nm,+ 70 Nm
Mercedes,A / A Berline,05/2018>...,Gasoline(default),45 AMG-S,421 hp,460 hp,+ 39 hp,500 Nm,620 Nm,+ 120 Nm
Mercedes,A / A Berline,2012>2015,Gasoline,A200,156 hp,175 hp,+ 19 hp,230 Nm,310 Nm,+ 80 Nm
Mercedes,A / A Berline,05/2018>...,Diesel,200D,150 hp,200 hp,+ 50 hp,320 Nm,440 Nm,+ 120 Nm
Mercedes,A / A Berline,05/2018>...,Gasoline(default),220 (2.0T),190 hp,250 hp,+ 60 hp,350 Nm,400 Nm,+ 50 Nm
Mercedes,A / A Berline,07/2004>2012,Diesel,200 CDI,140 hp,170 hp,+ 30 hp,300 Nm,360 Nm,+ 60 Nm
Mercedes,A / A Berline,2012>2015,Gasoline,A250,211 hp,250 hp,+ 39 hp,350 Nm,400 Nm,+ 50 Nm
Mercedes,A / A Berline,2012>2015,Diesel,180 CDI (1800cc),109 hp,165 hp,+ 56 hp,250 Nm,380 Nm,+ 130 Nm
Mercedes,A / A Berline,2015>2018,Diesel,180 CDI,109 hp,135 hp,+ 26 hp,260 Nm,310 Nm,+ 50 Nm
Mercedes,A / A Berline,2012>2015,Diesel,180 CDI (1500cc),109 hp,135 hp,+ 26 hp,250 Nm,310 Nm,+ 60 Nm
Mercedes,A / A Berline,2015>2018,Diesel,220 CDI,177 hp,210 hp,+ 33 hp,350 Nm,420 Nm,+ 70 Nm
Mercedes,A / A Berline,2015>2018,Gasoline,45 AMG,381 hp,420 hp,+ 39 hp,475 Nm,540 Nm,+ 65 Nm
Mercedes,A / A Berline,05/2018>...,Diesel,160D,95 hp,140 hp,+ 45 hp,240 Nm,310 Nm,+ 70 Nm
Mercedes,A / A Berline,2015>2018,Gasoline,180,122 hp,175 hp,+ 53 hp,200 Nm,310 Nm,+ 110 Nm
Mercedes,A / A Berline,2012>2015,Diesel,200 CDI (1800cc),136 hp,165 hp,+ 29 hp,300 Nm,380 Nm,+ 80 Nm
Mercedes,A / A Berline,2015>2018,Gasoline,200,156 hp,175 hp,+ 19 hp,250 Nm,310 Nm,+ 60 Nm
Mercedes,A / A Berline,2012>2015,Diesel,220 CDI,170 hp,200 hp,+ 30 hp,350 Nm,420 Nm,+ 70 Nm
Mercedes,A / A Berline,2012>2015,Gasoline,A180,122 hp,175 hp,+ 53 hp,200 Nm,310 Nm,+ 110 Nm
Mercedes,A / A Berline,07/2004>2012,Diesel,180 CDI,109 hp,138 hp,+ 29 hp,250 Nm,310 Nm,+ 60 Nm
Mercedes,A / A Berline,07/2004>2012,Diesel,160 CDI,82 hp,138 hp,+ 56 hp,180 Nm,310 Nm,+ 130 Nm
Mercedes,A / A Berline,07/2004>2012,Diesel,180 CDI (2009 < ...),109 hp,170 hp,+ 61 hp,250 Nm,360 Nm,+ 110 Nm
Mercedes,A / A Berline,05/2018>...,Gasoline(default),220D,194 hp,220 hp,+ 26 hp,400 Nm,480 Nm,+ 80 Nm
Mercedes,A / A Berline,05/2018>...,Gasoline,180,136 hp, hp,0 hp,200 Nm, Nm,0 Nm
Mercedes,A / A Berline,2015>2018,Gasoline,160,102 hp,175 hp,+ 73 hp,180 Nm,310 Nm,+ 130 Nm
Mercedes,A / A Berline,05/2018>...,Gasoline(default),160,109 hp, hp,0 hp,180 Nm, Nm,0 Nm
Mercedes,A / A Berline,2012>2015,Diesel,160 CDI,90 hp,135 hp,+ 45 hp,240 Nm,310 Nm,+ 70 Nm
Mercedes,A / A Berline,2015>2018,Gasoline,220 4 Matic,184 hp,250 hp,+ 66 hp,300 Nm,400 Nm,+ 100 Nm
Mercedes,A / A Berline,07/2004>2012,Gasoline,200 Turbo,193 hp,225 hp,+ 32 hp,280 Nm,340 Nm,+ 60 Nm
Mercedes,A / A Berline,05/2018>...,Gasoline,200,163 hp, hp,0 hp,250 Nm, Nm,0 Nm
Mercedes,AMG GT 4-door Coupé,2018>...,Gasoline,43 AMG,367 hp,420 hp,+ 53 hp,500 Nm,620 Nm,+ 120 Nm
Mercedes,AMG GT 4-door Coupé,2018>...,Gasoline,63 AMG,585 hp,650 hp,+ 65 hp,800 Nm,850 Nm,+ 50 Nm
Mercedes,AMG GT 4-door Coupé,2018>...,Gasoline,63 S AMG,639 hp,680 hp,+ 41 hp,900 Nm,1000 Nm,+ 100 Nm
Mercedes,AMG GT Coupé / Roadster,2017>...,Gasoline,AMG GT Roadster S,515 hp,575 hp,+ 60 hp,670 Nm,820 Nm,+ 150 Nm
Mercedes,AMG GT Coupé / Roadster,2014>2017,Gasoline,AMG GT C,557 hp,575 hp,+ 18 hp,720 Nm,820 Nm,+ 100 Nm
Mercedes,AMG GT Coupé / Roadster,2017>...,Gasoline,AMG GTS,522 hp,575 hp,+ 53 hp,670 Nm,820 Nm,+ 150 Nm
Mercedes,AMG GT Coupé / Roadster,2017>...,Gasoline,AMG GTC,557 hp,575 hp,+ 18 hp,680 Nm,820 Nm,+ 140 Nm
Mercedes,AMG GT Coupé / Roadster,2017>...,Gasoline,AMG GT Black Series,730 hp, hp,0 hp,800 Nm, Nm,0 Nm
Mercedes,AMG GT Coupé / Roadster,2014>2017,Gasoline,AMG GT S,510 hp,575 hp,+ 65 hp,650 Nm,820 Nm,+ 170 Nm
Mercedes,AMG GT Coupé / Roadster,2017>...,Gasoline,AMG GT,476 hp,575 hp,+ 99 hp,630 Nm,820 Nm,+ 190 Nm
Mercedes,AMG GT Coupé / Roadster,2017>...,Gasoline,AMG GTR,585 hp,640 hp,+ 55 hp,700 Nm,850 Nm,+ 150 Nm
Mercedes,AMG GT Coupé / Roadster,2014>2017,Gasoline,AMG GT,462 hp,575 hp,+ 113 hp,600 Nm,820 Nm,+ 220 Nm
Mercedes,B,2012>2018,Gasoline,250,211 hp,250 hp,+ 39 hp,350 Nm,400 Nm,+ 50 Nm
Mercedes,B,2018>...,Gasoline,220 (2.0T),190 hp,250 hp,+ 60 hp,350 Nm,400 Nm,+ 50 Nm
Mercedes,B,2018>...,Diesel,200D,150 hp,200 hp,+ 50 hp,320 Nm,440 Nm,+ 120 Nm
Mercedes,B,2012>2018,Diesel,200 CDI (2100cc),136 hp,170 hp,+ 34 hp,300 Nm,380 Nm,+ 80 Nm
Mercedes,B,2005>2011,Diesel,250 CDI,204 hp,240 hp,+ 36 hp,500 Nm,550 Nm,+ 50 Nm
Mercedes,B,2005>2011,Diesel,200 CDI,140 hp,170 hp,+ 30 hp,300 Nm,360 Nm,+ 60 Nm
Mercedes,B,2018>...,Gasoline,180,136 hp, hp,0 hp,200 Nm, Nm,0 Nm
Mercedes,B,2012>2018,Gasoline,220,184 hp,250 hp,+ 66 hp,300 Nm,400 Nm,+ 100 Nm
Mercedes,B,2012>2018,Gasoline,160,102 hp,175 hp,+ 73 hp,180 Nm,310 Nm,+ 130 Nm
Mercedes,B,2005>2011,Gasoline,200 Turbo,193 hp,225 hp,+ 32 hp,280 Nm,340 Nm,+ 60 Nm
Mercedes,B,2012>2018,Gasoline,180,122 hp,175 hp,+ 53 hp,200 Nm,310 Nm,+ 110 Nm
Mercedes,B,2005>2011,Diesel,180 CDI,109 hp,170 hp,+ 61 hp,250 Nm,360 Nm,+ 110 Nm
Mercedes,B,2012>2018,Diesel,180 CDI (1500cc),109 hp,135 hp,+ 26 hp,250 Nm,310 Nm,+ 60 Nm
Mercedes,B,2012>2018,Diesel,220 CDI,170 hp,200 hp,+ 30 hp,350 Nm,420 Nm,+ 70 Nm
Mercedes,B,2012>2018,Diesel,160 CDI,90 hp,135 hp,+ 45 hp,240 Nm,310 Nm,+ 70 Nm
Mercedes,B,2012>2018,Diesel,180 CDI (1800cc),109 hp,165 hp,+ 56 hp,250 Nm,380 Nm,+ 130 Nm
