brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Mini,Clubman,2007>2010,Diesel,1.6 D,110 hp,140 hp,+ 30 hp,240 Nm,310 Nm,+ 70 Nm
Mini,Clubman,2019>...,Diesel,2.0 D,150 hp,190 hp,+ 40 hp,350 Nm,400 Nm,+ 50 Nm
Mini,Clubman,2015>2019,Gasoline,2.0 T - JCW,231 hp,280 hp,+ 49 hp,350 Nm,400 Nm,+ 50 Nm
Mini,Clubman,2007>2010,Gasoline,1.6 Turbo,163 hp,205 hp,+ 42 hp,240 Nm,300 Nm,+ 60 Nm
Mini,Clubman,2015>2019,Gasoline,1.5 T,136 hp,165 hp,+ 29 hp,220 Nm,300 Nm,+ 80 Nm
Mini,Clubman,2010>2015,Gasoline,1.6 Turbo,184 hp,210 hp,+ 26 hp,240 Nm,320 Nm,+ 80 Nm
Mini,Clubman,2019>...,Gasoline,1.5T (GPF),102 hp,165 hp,+ 63 hp,190 Nm,300 Nm,+ 110 Nm
Mini,Clubman,2010>2015,Diesel,1.6 D,112 hp,140 hp,+ 28 hp,270 Nm,320 Nm,+ 50 Nm
Mini,Clubman,2007>2010,Gasoline,1.6 Turbo JCW,211 hp,230 hp,+ 19 hp,270 Nm,340 Nm,+ 70 Nm
Mini,Clubman,2007>2010,Gasoline,1.6 Turbo,174 hp,205 hp,+ 31 hp,240 Nm,300 Nm,+ 60 Nm
Mini,Clubman,2015>2019,Gasoline,2.0 T - S,192 hp,260 hp,+ 68 hp,280 Nm,400 Nm,+ 120 Nm
Mini,Clubman,2019>...,Diesel,1.5 D,116 hp,150 hp,+ 34 hp,270 Nm,330 Nm,+ 60 Nm
Mini,Clubman,2010>2015,Gasoline,1.6 DFI,120 hp,130 hp,+ 10 hp,160 Nm,175 Nm,+ 15 Nm
Mini,Clubman,2019>...,Gasoline,1.5T (GPF),136 hp,165 hp,+ 29 hp,230 Nm,300 Nm,+ 70 Nm
Mini,Clubman,2015>2019,Gasoline,2.0T,163 hp,260 hp,+ 97 hp,280 Nm,400 Nm,+ 120 Nm
Mini,Clubman,2010>2015,Diesel,1.6 D,90 hp,140 hp,+ 50 hp,215 Nm,320 Nm,+ 105 Nm
Mini,Clubman,2019>...,Gasoline,2.0T - JCW (GPF),306 hp,335 hp,+ 29 hp,450 Nm,500 Nm,+ 50 Nm
Mini,Clubman,2007>2010,Gasoline,1.6 Turbo,184 hp,210 hp,+ 26 hp,240 Nm,320 Nm,+ 80 Nm
Mini,Clubman,2010>2015,Gasoline,1.6 DFI,115 hp,130 hp,+ 15 hp,160 Nm,175 Nm,+ 15 Nm
Mini,Clubman,2015>2019,Diesel,1.5 D,116 hp,150 hp,+ 34 hp,270 Nm,330 Nm,+ 60 Nm
Mini,Clubman,2010>2015,Gasoline,1.6 Turbo,163 hp,210 hp,+ 47 hp,240 Nm,320 Nm,+ 80 Nm
Mini,Clubman,2015>2019,Diesel,2.0 SD,190 hp,220 hp,+ 30 hp,400 Nm,440 Nm,+ 40 Nm
Mini,Clubman,2010>2015,Gasoline,1.6 DFI,98 hp,130 hp,+ 32 hp,153 Nm,175 Nm,+ 22 Nm
Mini,Clubman,2019>...,Gasoline,2.0T - S (GPF),192 hp,250 hp,+ 58 hp,300 Nm,400 Nm,+ 100 Nm
Mini,Clubman,2015>2019,Diesel,2.0 D,150 hp,190 hp,+ 40 hp,320 Nm,400 Nm,+ 80 Nm
Mini,Clubman,2019>...,Diesel,2.0 SD,190 hp,220 hp,+ 30 hp,400 Nm,440 Nm,+ 40 Nm
Mini,Clubman,2010>2015,Diesel,2.0 D,143 hp,180 hp,+ 37 hp,305 Nm,400 Nm,+ 95 Nm
Mini,Clubman,2015>2019,Gasoline,1.5 T,102 hp,165 hp,+ 63 hp,180 Nm,300 Nm,+ 120 Nm
Mini,Cooper,2007>2010,Gasoline,1.6 DFI,122 hp,130 hp,+ 8 hp,160 Nm,175 Nm,+ 15 Nm
Mini,Cooper,2002>2007,Gasoline,1.6i,115 hp,125 hp,+ 10 hp,149 Nm,165 Nm,+ 16 Nm
Mini,Cooper,2010>2014,Gasoline,1.6 DFI,115 hp,135 hp,+ 20 hp,160 Nm,175 Nm,+ 15 Nm
