brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Mitsubishi,ASX,2010>2016,Diesel,1.6 DI-D,115 hp,140 hp,+ 25 hp,270 Nm,330 Nm,+ 60 Nm
Mitsubishi,ASX,2010>2016,Diesel,1.8 DID,115 hp,175 hp,+ 60 hp,300 Nm,360 Nm,+ 60 Nm
Mitsubishi,ASX,2016>...,Diesel,1.6 DiD,114 hp,150 hp,+ 36 hp,270 Nm,350 Nm,+ 80 Nm
Mitsubishi,ASX,2010>2016,Diesel,1.8 DID,150 hp,175 hp,+ 25 hp,300 Nm,360 Nm,+ 60 Nm
Mitsubishi,ASX,2010>2016,Diesel,2.2 DiD,150 hp,185 hp,+ 35 hp,380 Nm,450 Nm,+ 70 Nm
Mitsubishi,ASX,2016>...,Diesel,2.2 DiD,150 hp,185 hp,+ 35 hp,360 Nm,450 Nm,+ 90 Nm
Mitsubishi,Carisma,10/2001>09/2003,Diesel,1.9Di-D,102 hp,129 hp,+ 27 hp,215 Nm,250 Nm,+ 35 Nm
Mitsubishi,Carisma,10/2001>09/2003,Diesel,1.9Di-D,115 hp,140 hp,+ 25 hp,265 Nm,340 Nm,+ 75 Nm
Mitsubishi,Colt,All,Gasoline,1.5 Turbo,150 hp,180 hp,+ 30 hp,210 Nm,270 Nm,+ 60 Nm
Mitsubishi,Colt,All,Diesel,1.5 DI-D,95 hp,120 hp,+ 25 hp,210 Nm,270 Nm,+ 60 Nm
Mitsubishi,Delica,2017>...,Diesel,2.3T,148 hp,178 hp,+ 30 hp,360 Nm,420 Nm,+ 60 Nm
Mitsubishi,EVO,All,Gasoline,Evo IX,280 hp,320 hp,+ 40 hp,355 Nm,420 Nm,+ 65 Nm
Mitsubishi,EVO,All,Gasoline,Evo X,295 hp,330 hp,+ 35 hp,366 Nm,430 Nm,+ 64 Nm
Mitsubishi,Fuso,2006>...,Diesel,3.0 DDi,145 hp,175 hp,+ 30 hp,362 Nm,420 Nm,+ 58 Nm
Mitsubishi,Fuso,2006>...,Diesel,3.0 DDi,130 hp,160 hp,+ 30 hp,300 Nm,360 Nm,+ 60 Nm
Mitsubishi,Fuso,2006>...,Diesel,3.0 DDi,125 hp,155 hp,+ 30 hp,294 Nm,350 Nm,+ 56 Nm
Mitsubishi,Grandis,2005>2011,Diesel,2.0 DID,136 hp,170 hp,+ 34 hp,310 Nm,400 Nm,+ 90 Nm
Mitsubishi,L200,2015>...,Diesel,2.4 DiD,181 hp,200 hp,+ 19 hp,430 Nm,500 Nm,+ 70 Nm
Mitsubishi,L200,2015>...,Diesel,2.4 DiD,154 hp,200 hp,+ 46 hp,380 Nm,500 Nm,+ 120 Nm
Mitsubishi,L200,2015>...,Diesel,2.2 DiD,150 hp,180 hp,+ 30 hp,400 Nm,460 Nm,+ 60 Nm
Mitsubishi,L200,...>2015,Diesel,2.5 DiD,178 hp,210 hp,+ 32 hp,400 Nm,460 Nm,+ 60 Nm
Mitsubishi,L200,...>2015,Diesel,2.5 DiD,136 hp,175 hp,+ 39 hp,314 Nm,360 Nm,+ 46 Nm
Mitsubishi,L200,...>2015,Diesel,2.5 DiD,115 hp,144 hp,+ 29 hp,240 Nm,320 Nm,+ 80 Nm
Mitsubishi,Lancer,All,Diesel,1.8 DiD,115 hp,155 hp,+ 40 hp,300 Nm,360 Nm,+ 60 Nm
Mitsubishi,Lancer,All,Diesel,2.0 DID,140 hp,180 hp,+ 40 hp,310 Nm,400 Nm,+ 90 Nm
Mitsubishi,Lancer,All,Diesel,1.8 DID,150 hp,175 hp,+ 25 hp,300 Nm,360 Nm,+ 60 Nm
Mitsubishi,Outlander,2007>2012,Diesel,2.2 DiD,156 hp,185 hp,+ 29 hp,380 Nm,450 Nm,+ 70 Nm
Mitsubishi,Outlander,2017>...,Diesel,2.2 DiD,150 hp,185 hp,+ 35 hp,380 Nm,450 Nm,+ 70 Nm
Mitsubishi,Outlander,2007>2012,Diesel,2.2 DiD,140 hp,210 hp,+ 70 hp,380 Nm,460 Nm,+ 80 Nm
Mitsubishi,Outlander,2007>2012,Diesel,2.0 DiD,140 hp,180 hp,+ 40 hp,310 Nm,400 Nm,+ 90 Nm
Mitsubishi,Outlander,2007>2012,Diesel,2.2 DiD,177 hp,210 hp,+ 33 hp,380 Nm,460 Nm,+ 80 Nm
Mitsubishi,Outlander,2013>2016,Diesel,2.2 DiD,150 hp,185 hp,+ 35 hp,380 Nm,450 Nm,+ 70 Nm
Mitsubishi,Outlander,2007>2012,Diesel,1.8 DID,150 hp,175 hp,+ 25 hp,300 Nm,360 Nm,+ 60 Nm
Mitsubishi,Pajero,2000>2005,Diesel,3.2 DiD,160 hp,190 hp,+ 30 hp,373 Nm,420 Nm,+ 47 Nm
Mitsubishi,Pajero,2006>2014,Diesel,3.2 DiD,200 hp,240 hp,+ 40 hp,430 Nm,500 Nm,+ 70 Nm
Mitsubishi,Pajero,2014>...,Diesel,3.2 DiD (Euro 6),190 hp,240 hp,+ 50 hp,441 Nm,510 Nm,+ 69 Nm
Mitsubishi,Pajero,2006>2014,Diesel,3.2 DiD,170 hp,200 hp,+ 30 hp,373 Nm,420 Nm,+ 47 Nm
Mitsubishi,Pajero,2000>2005,Diesel,2.5 DiD,115 hp,144 hp,+ 29 hp,240 Nm,320 Nm,+ 80 Nm
Mitsubishi,Pajero,2014>...,Diesel,3.2 DiD,200 hp,240 hp,+ 40 hp,441 Nm,500 Nm,+ 59 Nm
Mitsubishi,Spacecar,05/2004>01/2005,Diesel,1.9Di-D,102 hp,129 hp,+ 27 hp,215 Nm,250 Nm,+ 35 Nm
Mitsubishi,Spacecar,05/2004>01/2005,Diesel,1.9Di-D,115 hp,140 hp,+ 25 hp,265 Nm,340 Nm,+ 75 Nm
