brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Nissan,350Z,2003>2009,Gasoline,3.5 V6,280 hp,300 hp,+ 20 hp,350 Nm,370 Nm,+ 20 Nm
Nissan,350Z,2003>2009,Gasoline,3.5 V6,301 hp,315 hp,+ 14 hp,350 Nm,370 Nm,+ 20 Nm
Nissan,350Z,2003>2009,Gasoline,3.5 V6,313 hp,335 hp,+ 22 hp,353 Nm,375 Nm,+ 22 Nm
Nissan,370Z,2009>...,Gasoline,3.7 V6 Nismo,344 hp,360 hp,+ 16 hp,371 Nm,386 Nm,+ 15 Nm
Nissan,370Z,2009>...,Gasoline,3.7 V6,328 hp,348 hp,+ 20 hp,363 Nm,383 Nm,+ 20 Nm
Nissan,370Z,2009>...,Gasoline,3.7 V6,331 hp,350 hp,+ 19 hp,366 Nm,385 Nm,+ 19 Nm
Nissan,Almera,2000>2006,Diesel,2.2 dCi,110 hp,136 hp,+ 26 hp,230 Nm,275 Nm,+ 45 Nm
Nissan,Almera,2000>2006,Diesel,2.2 DITD,126 hp,152 hp,+ 26 hp,280 Nm,320 Nm,+ 40 Nm
Nissan,Almera,2000>2006,Diesel,1.5 dci,82 hp,105 hp,+ 23 hp,185 Nm,230 Nm,+ 45 Nm
Nissan,Atleon / NT 500,2014>...,Diesel,3.0 DCI,150 hp,180 hp,+ 30 hp,350 Nm,410 Nm,+ 60 Nm
Nissan,Cabstar / NT400,...>2016,Diesel,2.5 DCi,100 hp,130 hp,+ 30 hp,260 Nm,335 Nm,+ 75 Nm
Nissan,Cabstar / NT400,...>2016,Diesel,2.5 DCi,120 hp,148 hp,+ 28 hp,300 Nm,368 Nm,+ 68 Nm
Nissan,Cabstar / NT400,2016>...,Diesel,3.0 DCI,130 hp,180 hp,+ 50 hp,300 Nm,430 Nm,+ 130 Nm
Nissan,Cabstar / NT400,2016>...,Diesel,3.0 DCI,150 hp,180 hp,+ 30 hp,350 Nm,430 Nm,+ 80 Nm
Nissan,Cabstar / NT400,...>2016,Diesel,2.5 DCi,130 hp,160 hp,+ 30 hp,270 Nm,340 Nm,+ 70 Nm
Nissan,Cabstar / NT400,...>2016,Diesel,3.0 DCi,150 hp,180 hp,+ 30 hp,350 Nm,415 Nm,+ 65 Nm
Nissan,Cube,2010>2012,Diesel,1.5 dci,85 hp,105 hp,+ 20 hp,200 Nm,260 Nm,+ 60 Nm
Nissan,Cube,2010>2012,Diesel,1.5 dci,110 hp,130 hp,+ 20 hp,240 Nm,300 Nm,+ 60 Nm
Nissan,Evalia,2014>...,Diesel,1.5 DCi,90 hp,110 hp,+ 20 hp,200 Nm,250 Nm,+ 50 Nm
Nissan,Evalia,2014>...,Diesel,1.5 DCi,110 hp,130 hp,+ 20 hp,240 Nm,300 Nm,+ 60 Nm
Nissan,GTR,2018>...,Gasoline,3.8 Bi Turbo,570 hp, hp,0 hp,637 Nm, Nm,0 Nm
Nissan,GTR,2016>2017,Gasoline,3.8 Bi Turbo,550 hp,580 hp,+ 30 hp,632 Nm,750 Nm,+ 118 Nm
Nissan,GTR,2016>2017,Gasoline,"3.8 Bi Turbo ""Nismo""",600 hp, hp,0 hp,652 Nm, Nm,0 Nm
Nissan,GTR,2014>2015,Gasoline,"3.8 Bi Turbo ""Nismo""",600 hp, hp,0 hp,652 Nm, Nm,0 Nm
Nissan,GTR,2014>2015,Gasoline,3.8 Bi Turbo,550 hp,580 hp,+ 30 hp,632 Nm,750 Nm,+ 118 Nm
Nissan,GTR,2011>...,Gasoline,3.8 Bi Turbo,530 hp,580 hp,+ 50 hp,612 Nm,750 Nm,+ 138 Nm
Nissan,GTR,2012>2013,Gasoline,3.8 Bi Turbo,550 hp,580 hp,+ 30 hp,632 Nm,750 Nm,+ 118 Nm
Nissan,GTR,2018>...,Gasoline,"3.8 Bi Turbo ""Nismo""",600 hp, hp,0 hp,637 Nm, Nm,0 Nm
Nissan,GTR,2016>2017,Gasoline,3.8 Bi Turbo,570 hp,580 hp,+ 10 hp,637 Nm,750 Nm,+ 113 Nm
Nissan,GTR,2008>2010,Gasoline,3.8i,485 hp,550 hp,+ 65 hp,588 Nm,720 Nm,+ 132 Nm
Nissan,Interstar,2005>2011,Diesel,2.5 DCI,120 hp,150 hp,+ 30 hp,290 Nm,360 Nm,+ 70 Nm
Nissan,Interstar,2005>2011,Diesel,2.5 DCI,100 hp,135 hp,+ 35 hp,260 Nm,350 Nm,+ 90 Nm
Nissan,Juke,2018>2019,Gasoline,1.6 DIG-T Nismo,218 hp,230 hp,+ 12 hp,280 Nm,350 Nm,+ 70 Nm
Nissan,Juke,2010>2018,Gasoline,1.6 T Nismo RS,214 hp,230 hp,+ 16 hp,250 Nm,350 Nm,+ 100 Nm
Nissan,Juke,2020>...,Gasoline,1.3 DIG-T,155 hp, hp,0 hp, Nm, Nm,0 Nm
Nissan,Juke,2010>2018,Gasoline,1.6 T Nismo,200 hp,230 hp,+ 30 hp,240 Nm,300 Nm,+ 60 Nm
Nissan,Juke,2018>2019,Gasoline,1.6 DIG-T,190 hp,220 hp,+ 30 hp,240 Nm,310 Nm,+ 70 Nm
Nissan,Juke,2020>...,Gasoline,1.3 DIG-T,130 hp, hp,0 hp,240 Nm, Nm,0 Nm
Nissan,Juke,2010>2018,Diesel,1.5 DCi,110 hp,138 hp,+ 28 hp,240 Nm,310 Nm,+ 70 Nm
Nissan,Juke,2010>2018,Gasoline,1.6 T,190 hp,230 hp,+ 40 hp,240 Nm,300 Nm,+ 60 Nm
Nissan,Juke,2010>2018,Gasoline,1.6 T Nismo RS,218 hp,230 hp,+ 12 hp,280 Nm,350 Nm,+ 70 Nm
Nissan,Juke,2010>2018,Gasoline,1.6,117 hp,130 hp,+ 13 hp,158 Nm,173 Nm,+ 15 Nm
Nissan,Juke,2018>2019,Gasoline,1.2 DIG-T,115 hp,130 hp,+ 15 hp,190 Nm,230 Nm,+ 40 Nm
Nissan,Juke,2020>...,Gasoline,1.0 IG-T,100 hp, hp,0 hp,160 Nm, Nm,0 Nm
