brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Peugeot,1007,2004>2011,Diesel,1.4 HDi,70 hp,95 hp,+ 25 hp,160 Nm,208 Nm,+ 48 Nm
Peugeot,1007,2004>2011,Diesel,1.6 HDi,110 hp,135 hp,+ 25 hp,240 Nm,300 Nm,+ 60 Nm
Peugeot,107,2005>2014,Diesel,1.4 HDi,55 hp,85 hp,+ 30 hp,130 Nm,170 Nm,+ 40 Nm
Peugeot,2008,2020>...,Gasoline,1.2 PureTech (GPF),100 hp,145 hp,+ 45 hp,205 Nm,250 Nm,+ 45 Nm
Peugeot,2008,2013>2016,Diesel,1.6 e-HDI,115 hp,140 hp,+ 25 hp,285 Nm,330 Nm,+ 45 Nm
Peugeot,2008,10/2016>2020,Diesel,1.6 BlueHDi,75 hp,120 hp,+ 45 hp,230 Nm,280 Nm,+ 50 Nm
Peugeot,2008,2020>...,Diesel,1.5 BlueHDi,130 hp,160 hp,+ 30 hp,300 Nm,350 Nm,+ 50 Nm
Peugeot,2008,10/2016>2020,Diesel,1.5 BlueHDi,130 hp,160 hp,+ 30 hp,300 Nm,350 Nm,+ 50 Nm
Peugeot,2008,2020>...,Diesel,1.5 BlueHDi,100 hp,140 hp,+ 40 hp,250 Nm,340 Nm,+ 90 Nm
Peugeot,2008,10/2016>2020,Gasoline,1.2T PureTech,130 hp,145 hp,+ 15 hp,230 Nm,270 Nm,+ 40 Nm
Peugeot,2008,2013>2016,Diesel,1.6 e-HDI,92 hp,115 hp,+ 23 hp,230 Nm,260 Nm,+ 30 Nm
Peugeot,2008,2020>...,Gasoline,1.2 PureTech (GPF),155 hp,175 hp,+ 20 hp,240 Nm,270 Nm,+ 30 Nm
Peugeot,2008,10/2016>2020,Diesel,1.5 BlueHDi,100 hp,140 hp,+ 40 hp,250 Nm,340 Nm,+ 90 Nm
Peugeot,2008,2013>2016,Diesel,1.6 BlueHDI,75 hp,120 hp,+ 45 hp,230 Nm,280 Nm,+ 50 Nm
Peugeot,2008,2013>2016,Diesel,1.4 e-HDI,68 hp,90 hp,+ 22 hp,160 Nm,210 Nm,+ 50 Nm
Peugeot,2008,10/2016>2020,Gasoline,1.2 PureTech (GPF),130 hp,145 hp,+ 15 hp,230 Nm,250 Nm,+ 20 Nm
Peugeot,2008,2013>2016,Gasoline,1.6 VTI,120 hp,135 hp,+ 15 hp,160 Nm,180 Nm,+ 20 Nm
Peugeot,2008,10/2016>2020,Diesel,1.6 BlueHDi,100 hp,130 hp,+ 30 hp,254 Nm,320 Nm,+ 66 Nm
