brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Porsche,911,1997>2006,Gasoline,3.4i Carrera,300 hp,323 hp,+ 23 hp,340 Nm,361 Nm,+ 21 Nm
Porsche,911,2004>2011,Gasoline,3.8i Carrera S X51,376 hp,390 hp,+ 14 hp,415 Nm,440 Nm,+ 25 Nm
Porsche,911,2016>2018,Gasoline,GT3 RS,520 hp,540 hp,+ 20 hp,470 Nm,490 Nm,+ 20 Nm
Porsche,911,2019>...,Gasoline,GT3,520 hp,540 hp,+ 20 hp,470 Nm,490 Nm,+ 20 Nm
Porsche,911,2011>2015,Gasoline,3.8 DFI GTS,430 hp,450 hp,+ 20 hp,440 Nm,460 Nm,+ 20 Nm
Porsche,911,1997>2006,Gasoline,3.6i GT3,381 hp,403 hp,+ 22 hp,385 Nm,415 Nm,+ 30 Nm
Porsche,911,2004>2011,Gasoline,3.6i GT2,530 hp,580 hp,+ 50 hp,680 Nm,800 Nm,+ 120 Nm
Porsche,911,2011>2015,Gasoline,3.8 DFI GT3,476 hp,500 hp,+ 24 hp,440 Nm,460 Nm,+ 20 Nm
Porsche,911,2016>2018,Gasoline,GT3,500 hp,525 hp,+ 25 hp,460 Nm,485 Nm,+ 25 Nm
Porsche,911,2004>2011,Gasoline,3.8i Carrera S,355 hp,373 hp,+ 18 hp,400 Nm,420 Nm,+ 20 Nm
Porsche,911,2016>2018,Gasoline,4.0 R,500 hp,525 hp,+ 25 hp,460 Nm,485 Nm,+ 25 Nm
Porsche,911,2019>...,Gasoline,3.8 Bi-Turbo,580 hp,700 hp,+ 120 hp,750 Nm,900 Nm,+ 150 Nm
Porsche,911,1997>2006,Gasoline,3.6i GT3,360 hp,381 hp,+ 21 hp,370 Nm,405 Nm,+ 35 Nm
Porsche,911,2016>2018,Gasoline,3.8 Turbo S Exclusive,607 hp,667 hp,+ 60 hp,750 Nm,830 Nm,+ 80 Nm
Porsche,911,1997>2006,Gasoline,3.6i Carrera,345 hp,355 hp,+ 10 hp,370 Nm,386 Nm,+ 16 Nm
Porsche,911,2019>...,Gasoline,3.8 Bi-Turbo S,650 hp,720 hp,+ 70 hp,800 Nm,950 Nm,+ 150 Nm
Porsche,911,1997>2006,Gasoline,3.6i GT3 RS,400 hp,420 hp,+ 20 hp,385 Nm,420 Nm,+ 35 Nm
Porsche,911,2004>2011,Gasoline,3.8 DFI Carrera S,385 hp,405 hp,+ 20 hp,420 Nm,440 Nm,+ 20 Nm
Porsche,911,2011>2015,Gasoline,4.0 DFI GT3 RS,500 hp,525 hp,+ 25 hp,460 Nm,485 Nm,+ 25 Nm
Porsche,911,2004>2011,Gasoline,3.8 DFI Turbo S,530 hp,580 hp,+ 50 hp,700 Nm,800 Nm,+ 100 Nm
Porsche,911,2004>2011,Gasoline,3.8 DFI Turbo,500 hp,550 hp,+ 50 hp,650 Nm,740 Nm,+ 90 Nm
Porsche,911,2004>2011,Gasoline,3.6i Turbo,480 hp,520 hp,+ 40 hp,620 Nm,720 Nm,+ 100 Nm
Porsche,911,2004>2011,Gasoline,4.0 GT3 RS 4.0,500 hp,520 hp,+ 20 hp,460 Nm,480 Nm,+ 20 Nm
Porsche,911,2004>2011,Gasoline,3.8 GT3 RS (& CUP ),450 hp,470 hp,+ 20 hp,430 Nm,470 Nm,+ 40 Nm
Porsche,911,2004>2011,Gasoline,3.8 GT3,435 hp,456 hp,+ 21 hp,430 Nm,453 Nm,+ 23 Nm
Porsche,911,2004>2011,Gasoline,3.6i GT3 RS,415 hp,436 hp,+ 21 hp,405 Nm,432 Nm,+ 27 Nm
Porsche,911,1997>2006,Gasoline,3.6i GT2,462 hp,515 hp,+ 53 hp,620 Nm,725 Nm,+ 105 Nm
Porsche,911,1997>2006,Gasoline,3.6i Turbo S ( & X50 ),450 hp,495 hp,+ 45 hp,620 Nm,670 Nm,+ 50 Nm
Porsche,911,2011>2015,Gasoline,3.8 DFI Turbo S,560 hp,600 hp,+ 40 hp,750 Nm,800 Nm,+ 50 Nm
Porsche,911,2004>2011,Gasoline,3.6i GT3,415 hp,436 hp,+ 21 hp,405 Nm,432 Nm,+ 27 Nm
Porsche,911,2011>2015,Gasoline,3.8 DFI Turbo,520 hp,600 hp,+ 80 hp,710 Nm,800 Nm,+ 90 Nm
Porsche,911,2004>2011,Gasoline,3.8 DFI Carrera GTS,408 hp,425 hp,+ 17 hp,420 Nm,445 Nm,+ 25 Nm
Porsche,911,1997>2006,Gasoline,3.6i Turbo,420 hp,480 hp,+ 60 hp,560 Nm,650 Nm,+ 90 Nm
Porsche,911,2016>2018,Gasoline,3.8T GT2 RS,700 hp,760 hp,+ 60 hp,750 Nm,830 Nm,+ 80 Nm
Porsche,911,2004>2011,Gasoline,3.6 DFI Carrera,345 hp,360 hp,+ 15 hp,390 Nm,410 Nm,+ 20 Nm
Porsche,911,2011>2015,Gasoline,3.8 DFI Carrera S,400 hp,420 hp,+ 20 hp,440 Nm,460 Nm,+ 20 Nm
Porsche,911,2004>2011,Gasoline,3.6i GT2 RS,620 hp,650 hp,+ 30 hp,700 Nm,800 Nm,+ 100 Nm
Porsche,911,2004>2011,Gasoline,3.6i Carrera,325 hp,340 hp,+ 15 hp,370 Nm,395 Nm,+ 25 Nm
Porsche,911,2016>2018,Gasoline,3.8 Turbo S,580 hp,650 hp,+ 70 hp,700 Nm,820 Nm,+ 120 Nm
Porsche,911,2016>2018,Gasoline,3.0T Carrera GTS / 4 GTS,450 hp,520 hp,+ 70 hp,550 Nm,660 Nm,+ 110 Nm
Porsche,911,2019>...,Gasoline,3.0T,480 hp,530 hp,+ 50 hp,550 Nm,650 Nm,+ 100 Nm
Porsche,911,2019>...,Gasoline,3.0T,450 hp,530 hp,+ 80 hp,530 Nm,650 Nm,+ 120 Nm
Porsche,911,2019>...,Gasoline,3.0T,385 hp,470 hp,+ 85 hp,520 Nm,620 Nm,+ 100 Nm
Porsche,911,1997>2006,Gasoline,3.6i Carrera,320 hp,338 hp,+ 18 hp,370 Nm,386 Nm,+ 16 Nm
Porsche,911,2016>2018,Gasoline,3.8 Turbo,540 hp,650 hp,+ 110 hp,660 Nm,820 Nm,+ 160 Nm
Porsche,911,2016>2018,Gasoline,3.0T Carrera / 4,370 hp,470 hp,+ 100 hp,450 Nm,620 Nm,+ 170 Nm
Porsche,911,2016>2018,Gasoline,3.0T Carrera S / 4S,420 hp,470 hp,+ 50 hp,500 Nm,620 Nm,+ 120 Nm
Porsche,911,2011>2015,Gasoline,3.4 DFI Carrera,350 hp,365 hp,+ 15 hp,390 Nm,410 Nm,+ 20 Nm
Porsche,918,2013>...,Gasoline,4.6 V8 + 2 E-Engines,887 hp,924 hp,+ 37 hp,1275 Nm,1320 Nm,+ 45 Nm
Porsche,Boxster,2005>2011,Gasoline,S 3.2i,280 hp,295 hp,+ 15 hp,320 Nm,335 Nm,+ 15 Nm
Porsche,Boxster,2012>2016,Gasoline,3.4 DFI GTS,330 hp,350 hp,+ 20 hp,360 Nm,380 Nm,+ 20 Nm
Porsche,Boxster,2016>...,Gasoline,GT4 - 4.0,420 hp,440 hp,+ 20 hp,420 Nm,440 Nm,+ 20 Nm
