brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Renault,Alaskan,2016>2019,Diesel,2.3 DCi Bi-turbo,160 hp,190 hp,+ 30 hp,403 Nm,460 Nm,+ 57 Nm
Renault,Alaskan,2016>2019,Diesel,2.3 DCi Bi-turbo,190 hp,210 hp,+ 20 hp,450 Nm,500 Nm,+ 50 Nm
Renault,Alaskan,2019>...,Diesel,2.3 BlueDCI,160 hp,190 hp,+ 30 hp,403 Nm,460 Nm,+ 57 Nm
Renault,Alaskan,2019>...,Diesel,2.3 BlueDCI,190 hp,210 hp,+ 20 hp,450 Nm,500 Nm,+ 50 Nm
Renault,Arkana,2021>...,Gasoline,1.3 TCE,155 hp, hp,0 hp,260 Nm, Nm,0 Nm
Renault,Avantime,2001>2003,Diesel,2.2 DCi,150 hp,180 hp,+ 30 hp,320 Nm,375 Nm,+ 55 Nm
Renault,Captur / QM3,2019>...,Gasoline,1.3 TCE,155 hp, hp,0 hp, Nm, Nm,0 Nm
Renault,Captur / QM3,06/2017>2019,Gasoline,0.9 TCE,90 hp,110 hp,+ 20 hp,135 Nm,160 Nm,+ 25 Nm
Renault,Captur / QM3,2013>2017,Diesel,1.5 DCI,110 hp,135 hp,+ 25 hp,260 Nm,310 Nm,+ 50 Nm
Renault,Captur / QM3,06/2017>2019,Gasoline,1.2 TCE,120 hp,135 hp,+ 15 hp,190 Nm,230 Nm,+ 40 Nm
Renault,Captur / QM3,2019>...,Gasoline,1.3 TCE,130 hp, hp,0 hp,240 Nm, Nm,0 Nm
Renault,Captur / QM3,2019>...,Diesel,1.5 BlueDCI,95 hp,135 hp,+ 40 hp,220 Nm,310 Nm,+ 90 Nm
Renault,Captur / QM3,06/2017>2019,Gasoline,1.3 TCE,130 hp, hp,0 hp,240 Nm, Nm,0 Nm
Renault,Captur / QM3,2019>...,Diesel,1.5 BlueDCI,115 hp,140 hp,+ 25 hp,260 Nm,320 Nm,+ 60 Nm
