brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Saab,9-3,2007>2010,Gasoline,2.0 T,210 hp,240 hp,+ 30 hp,300 Nm,350 Nm,+ 50 Nm
Saab,9-3,2010>...,Gasoline,2.8T,280 hp,310 hp,+ 30 hp,400 Nm,470 Nm,+ 70 Nm
Saab,9-3,12/2002>08/2007,Diesel,1.9 TiD,150 hp,190 hp,+ 40 hp,320 Nm,400 Nm,+ 80 Nm
Saab,9-3,12/2002>08/2007,Diesel,1.9 TiD,120 hp,150 hp,+ 30 hp,280 Nm,340 Nm,+ 60 Nm
Saab,9-3,2007>2010,Diesel,1.9 TiD,120 hp,150 hp,+ 30 hp,280 Nm,340 Nm,+ 60 Nm
Saab,9-3,2010>...,Gasoline,2.8T,255 hp, hp,0 hp,NONE,NONE,NONE
Saab,9-3,2007>2010,Diesel,1.9 TTiD,180 hp,220 hp,+ 40 hp,400 Nm,480 Nm,+ 80 Nm
Saab,9-3,2010>...,Gasoline,2.0T,218 hp, hp,0 hp,350 Nm, Nm,0 Nm
Saab,9-3,2007>2010,Gasoline,2.8T,280 hp,310 hp,+ 30 hp,400 Nm,470 Nm,+ 70 Nm
Saab,9-3,2007>2010,Diesel,1.9 TiD,150 hp,190 hp,+ 40 hp,320 Nm,400 Nm,+ 80 Nm
Saab,9-3,2010>...,Diesel,1.9 TID,130 hp,190 hp,+ 60 hp,320 Nm,400 Nm,+ 80 Nm
Saab,9-3,2010>...,Gasoline,2.0T,175 hp,205 hp,+ 30 hp,265 Nm,320 Nm,+ 55 Nm
Saab,9-3,2010>...,Diesel,1.9 TTiD,180 hp,220 hp,+ 40 hp,400 Nm,480 Nm,+ 80 Nm
Saab,9-3,12/2002>08/2007,Gasoline,2.0 Turbo,210 hp,235 hp,+ 25 hp,300 Nm,350 Nm,+ 50 Nm
Saab,9-3,2007>2010,Gasoline,2.0 T,175 hp,205 hp,+ 30 hp,265 Nm,320 Nm,+ 55 Nm
Saab,9-3,2010>...,Gasoline,1.8T,150 hp,185 hp,+ 35 hp,250 Nm,310 Nm,+ 60 Nm
Saab,9-3,12/2002>08/2007,Gasoline,2.0 Turbo,175 hp,216 hp,+ 41 hp,265 Nm,310 Nm,+ 45 Nm
Saab,9-3,2007>2010,Gasoline,1.8 T,150 hp,184 hp,+ 34 hp,250 Nm,310 Nm,+ 60 Nm
Saab,9-3,12/2002>08/2007,Gasoline,1.8 Turbo,150 hp,184 hp,+ 34 hp,214 Nm,300 Nm,+ 86 Nm
Saab,9-3,2010>...,Diesel,1.9 TID,160 hp,190 hp,+ 30 hp,360 Nm,400 Nm,+ 40 Nm
Saab,9-4X,2011>...,Gasoline,2.8 T,300 hp, hp,0 hp,400 Nm, Nm,0 Nm
Saab,9-5,10/2005>2010,Gasoline,2.3 Turbo,250 hp,273 hp,+ 23 hp,350 Nm,415 Nm,+ 65 Nm
Saab,9-5,2010>...,Diesel,2.0 TTiD,190 hp,225 hp,+ 35 hp,400 Nm,480 Nm,+ 80 Nm
Saab,9-5,10/2005>2010,Gasoline,3.0 Turbo,200 hp,245 hp,+ 45 hp,310 Nm,380 Nm,+ 70 Nm
Saab,9-5,10/2005>2010,Gasoline,2.3 Turbo,230 hp,270 hp,+ 40 hp,350 Nm,400 Nm,+ 50 Nm
Saab,9-5,10/2005>2010,Diesel,1.9 TiD,150 hp,190 hp,+ 40 hp,320 Nm,400 Nm,+ 80 Nm
Saab,9-5,10/2005>2010,Gasoline,2.3 Turbo,185 hp,225 hp,+ 40 hp,280 Nm,365 Nm,+ 85 Nm
Saab,9-5,2010>...,Gasoline,2.8 Turbo,300 hp,360 hp,+ 60 hp,400 Nm,550 Nm,+ 150 Nm
Saab,9-5,10/2005>2010,Gasoline,2.0 Turbo,150 hp,190 hp,+ 40 hp,250 Nm,312 Nm,+ 62 Nm
Saab,9-5,2010>...,Gasoline,2.0 Turbo,220 hp,295 hp,+ 75 hp,350 Nm,440 Nm,+ 90 Nm
Saab,9-5,2010>...,Gasoline,1.6 Turbo,180 hp,210 hp,+ 30 hp,230 Nm,300 Nm,+ 70 Nm
Saab,9-5,2010>...,Diesel,2.0 TID,160 hp,200 hp,+ 40 hp,350 Nm,420 Nm,+ 70 Nm
Saab,9-5,10/2005>2010,Diesel,3.0 TID V6,177 hp,208 hp,+ 31 hp,350 Nm,410 Nm,+ 60 Nm
