brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Seat,Alhambra,2010>2015,Diesel,2.0 CR TDi,140 hp,185 hp,+ 45 hp,320 Nm,400 Nm,+ 80 Nm
Seat,Alhambra,1999>2010,Diesel,1.9 TDi,130 hp,165 hp,+ 35 hp,310 Nm,390 Nm,+ 80 Nm
Seat,Alhambra,2010>2015,Diesel,2.0 CR TDi,170 hp,205 hp,+ 35 hp,350 Nm,420 Nm,+ 70 Nm
Seat,Alhambra,2015>...,Gasoline,2.0 TSi,220 hp,300 hp,+ 80 hp,350 Nm,440 Nm,+ 90 Nm
Seat,Alhambra,2015>...,Gasoline,1.4 TSI,150 hp,170 hp,+ 20 hp,250 Nm,300 Nm,+ 50 Nm
Seat,Alhambra,2010>2015,Diesel,2.0 CR TDi,136 hp,185 hp,+ 49 hp,320 Nm,400 Nm,+ 80 Nm
Seat,Alhambra,1999>2010,Diesel,2.0 TDi,140 hp,180 hp,+ 40 hp,320 Nm,400 Nm,+ 80 Nm
Seat,Alhambra,1999>2010,Diesel,1.9 TDi,115 hp,150 hp,+ 35 hp,310 Nm,400 Nm,+ 90 Nm
Seat,Alhambra,2010>2015,Gasoline,1.4 TSi (CTHA),150 hp,200 hp,+ 50 hp,240 Nm,300 Nm,+ 60 Nm
Seat,Alhambra,2010>2015,Diesel,2.0 CR TDi,115 hp,185 hp,+ 70 hp,280 Nm,410 Nm,+ 130 Nm
Seat,Alhambra,2015>...,Diesel,2.0 TDI CR,190 hp,220 hp,+ 30 hp,380 Nm,450 Nm,+ 70 Nm
Seat,Alhambra,2010>2015,Gasoline,2.0 TSi,200 hp,240 hp,+ 40 hp,280 Nm,360 Nm,+ 80 Nm
Seat,Alhambra,2010>2015,Gasoline,1.4 TSi (CAVA),150 hp,200 hp,+ 50 hp,240 Nm,300 Nm,+ 60 Nm
Seat,Alhambra,1999>2010,Diesel,1.9 TDi,110 hp,143 hp,+ 33 hp,235 Nm,305 Nm,+ 70 Nm
Seat,Alhambra,2015>...,Diesel,2.0 TDI CR,184 hp,220 hp,+ 36 hp,380 Nm,450 Nm,+ 70 Nm
Seat,Alhambra,1999>2010,Diesel,1.9 TDi,90 hp,115 hp,+ 25 hp,210 Nm,250 Nm,+ 40 Nm
Seat,Alhambra,2015>...,Diesel,2.0 TDI CR,150 hp,195 hp,+ 45 hp,320 Nm,430 Nm,+ 110 Nm
Seat,Altea,06/2004>...,Diesel,2.0 TDi (CR),140 hp,185 hp,+ 45 hp,320 Nm,400 Nm,+ 80 Nm
Seat,Altea,06/2004>...,Diesel,2.0 TDi (PPD),170 hp,200 hp,+ 30 hp,350 Nm,420 Nm,+ 70 Nm
Seat,Altea,06/2004>...,Diesel,1.6 TDi,105 hp,140 hp,+ 35 hp,250 Nm,310 Nm,+ 60 Nm
Seat,Altea,06/2004>...,Diesel,2.0 TDi (CR),170 hp,205 hp,+ 35 hp,350 Nm,420 Nm,+ 70 Nm
Seat,Altea,06/2004>...,Diesel,1.9 TDi,105 hp,140 hp,+ 35 hp,250 Nm,320 Nm,+ 70 Nm
Seat,Altea,06/2004>...,Diesel,1.6 TDi,90 hp,140 hp,+ 50 hp,230 Nm,310 Nm,+ 80 Nm
Seat,Altea,06/2004>...,Gasoline,1.2 TSi,105 hp,130 hp,+ 25 hp,175 Nm,215 Nm,+ 40 Nm
Seat,Altea,06/2004>...,Diesel,2.0 TDi (IP),136 hp,180 hp,+ 44 hp,320 Nm,400 Nm,+ 80 Nm
Seat,Altea,06/2004>...,Diesel,2.0 TDi (IP),140 hp,180 hp,+ 40 hp,320 Nm,400 Nm,+ 80 Nm
Seat,Altea,06/2004>...,Gasoline,1.4 TSi,125 hp,145 hp,+ 20 hp,200 Nm,250 Nm,+ 50 Nm
Seat,Altea,06/2004>...,Gasoline,1.8 TSi,160 hp,210 hp,+ 50 hp,250 Nm,310 Nm,+ 60 Nm
Seat,Altea,06/2004>...,Gasoline,2.0 TFSi,200 hp,240 hp,+ 40 hp,280 Nm,360 Nm,+ 80 Nm
Seat,Altea XL,2004>...,Diesel,2.0 TDi (CR),140 hp,185 hp,+ 45 hp,320 Nm,400 Nm,+ 80 Nm
Seat,Altea XL,2004>...,Gasoline,1.2 TSi,105 hp,130 hp,+ 25 hp,175 Nm,215 Nm,+ 40 Nm
Seat,Altea XL,2004>...,Diesel,2.0 TDi (PPD),170 hp,200 hp,+ 30 hp,350 Nm,440 Nm,+ 90 Nm
Seat,Altea XL,2004>...,Gasoline,1.4 TSi,125 hp,145 hp,+ 20 hp,200 Nm,250 Nm,+ 50 Nm
Seat,Altea XL,2004>...,Gasoline,1.8 TSi,160 hp,210 hp,+ 50 hp,250 Nm,310 Nm,+ 60 Nm
Seat,Altea XL,2004>...,Diesel,2.0 TDi (CR),170 hp,205 hp,+ 35 hp,350 Nm,420 Nm,+ 70 Nm
Seat,Altea XL,2004>...,Diesel,1.6 TDi,105 hp,140 hp,+ 35 hp,250 Nm,310 Nm,+ 60 Nm
Seat,Altea XL,2004>...,Diesel,2.0 TDi (IP),140 hp,180 hp,+ 40 hp,320 Nm,400 Nm,+ 80 Nm
Seat,Altea XL,2004>...,Diesel,1.9 TDi,105 hp,140 hp,+ 35 hp,250 Nm,320 Nm,+ 70 Nm
Seat,Altea XL,2004>...,Diesel,1.6 TDi,90 hp,140 hp,+ 50 hp,230 Nm,310 Nm,+ 80 Nm
Seat,Arona,2017>...,Gasoline,1.4 TSI,150 hp,170 hp,+ 20 hp,250 Nm,300 Nm,+ 50 Nm
Seat,Arona,2017>...,Diesel,1.6 TDI,115 hp,140 hp,+ 25 hp,250 Nm,310 Nm,+ 60 Nm
Seat,Arona,2017>...,Gasoline,2.0 TSI Cupra,200 hp,235 hp,+ 35 hp,320 Nm,420 Nm,+ 100 Nm
Seat,Arona,2017>...,Gasoline,1.5 TSI,150 hp,175 hp,+ 25 hp,250 Nm,300 Nm,+ 50 Nm
Seat,Arona,2017>...,Gasoline,1.0 TSI,115 hp,130 hp,+ 15 hp,200 Nm,240 Nm,+ 40 Nm
Seat,Arona,2017>...,Gasoline,1.0 TSI,95 hp,130 hp,+ 35 hp,175 Nm,240 Nm,+ 65 Nm
Seat,Arona,2017>...,Diesel,1.6 TDI,95 hp,140 hp,+ 45 hp,250 Nm,310 Nm,+ 60 Nm
Seat,Ateca,2016>...,Diesel,2.0 TDI,150 hp,195 hp,+ 45 hp,340 Nm,430 Nm,+ 90 Nm
Seat,Ateca,2016>...,Diesel,2.0 TDI,190 hp,220 hp,+ 30 hp,400 Nm,450 Nm,+ 50 Nm
Seat,Ateca,2016>...,Diesel,1.6 TDI,115 hp,140 hp,+ 25 hp,250 Nm,310 Nm,+ 60 Nm
Seat,Ateca,2016>...,Gasoline,1.0 TSI,115 hp,130 hp,+ 15 hp,200 Nm,240 Nm,+ 40 Nm
Seat,Ateca,2016>...,Gasoline,1.5 TSI,150 hp,175 hp,+ 25 hp,250 Nm,300 Nm,+ 50 Nm
Seat,Ateca,2016>...,Gasoline,2.0 TSI,190 hp,235 hp,+ 45 hp,320 Nm,400 Nm,+ 80 Nm
Seat,Ateca,2016>...,Gasoline,1.4 Eco TSI,150 hp,170 hp,+ 20 hp,250 Nm,300 Nm,+ 50 Nm
Seat,Cordoba,2003>2008,Diesel,1.4 TDi,75 hp,100 hp,+ 25 hp,195 Nm,245 Nm,+ 50 Nm
Seat,Cordoba,2003>2008,Diesel,1.4 TDi,80 hp,105 hp,+ 25 hp,195 Nm,245 Nm,+ 50 Nm
Seat,Cordoba,2003>2008,Diesel,1.9 TDi,100 hp,140 hp,+ 40 hp,240 Nm,320 Nm,+ 80 Nm
Seat,Cordoba,2003>2008,Diesel,1.9 TDi,130 hp,165 hp,+ 35 hp,310 Nm,385 Nm,+ 75 Nm
Seat,Exeo,2009>2013,Gasoline,1.8 TSi,160 hp,210 hp,+ 50 hp,250 Nm,320 Nm,+ 70 Nm
Seat,Exeo,2009>2013,Gasoline,1.8 TSi,120 hp,210 hp,+ 90 hp,230 Nm,320 Nm,+ 90 Nm
Seat,Exeo,2009>2013,Diesel,2.0 TDi cr,120 hp,180 hp,+ 60 hp,290 Nm,400 Nm,+ 110 Nm
Seat,Exeo,2009>2013,Gasoline,1.8T,150 hp,190 hp,+ 40 hp,220 Nm,320 Nm,+ 100 Nm
Seat,Exeo,2009>2013,Diesel,2.0 TDi cr,136 hp,185 hp,+ 49 hp,320 Nm,410 Nm,+ 90 Nm
Seat,Exeo,2009>2013,Gasoline,2.0 TSI,211 hp,260 hp,+ 49 hp,250 Nm,380 Nm,+ 130 Nm
Seat,Exeo,2009>2013,Diesel,2.0 TDi cr,143 hp,185 hp,+ 42 hp,320 Nm,420 Nm,+ 100 Nm
Seat,Exeo,2009>2013,Diesel,2.0 TDi cr,163 hp,205 hp,+ 42 hp,350 Nm,420 Nm,+ 70 Nm
Seat,Exeo,2009>2013,Gasoline,2.0 TFSI,200 hp,250 hp,+ 50 hp,280 Nm,360 Nm,+ 80 Nm
Seat,Exeo,2009>2013,Diesel,2.0 TDi cr,170 hp,205 hp,+ 35 hp,320 Nm,420 Nm,+ 100 Nm
Seat,Ibiza,2008>2015,Diesel,1.6 TDi,105 hp,136 hp,+ 31 hp,250 Nm,300 Nm,+ 50 Nm
Seat,Ibiza,2008>2015,Gasoline,1.4 TSi,140 hp,170 hp,+ 30 hp,250 Nm,300 Nm,+ 50 Nm
Seat,Ibiza,2008>2015,Diesel,1.9 TDi,105 hp,140 hp,+ 35 hp,240 Nm,320 Nm,+ 80 Nm
Seat,Ibiza,2008>2015,Gasoline,1.2 TSI,105 hp,130 hp,+ 25 hp,175 Nm,215 Nm,+ 40 Nm
Seat,Ibiza,2008>2015,Diesel,1.9 TDi,90 hp,140 hp,+ 50 hp,210 Nm,320 Nm,+ 110 Nm
Seat,Ibiza,2002>2008,Diesel,1.9 TDi,100 hp,140 hp,+ 40 hp,240 Nm,320 Nm,+ 80 Nm
Seat,Ibiza,2015>2017,Diesel,1.4 TDI,105 hp,130 hp,+ 25 hp,250 Nm,300 Nm,+ 50 Nm
Seat,Ibiza,2008>2015,Gasoline,1.2 TSI,86 hp,130 hp,+ 44 hp,160 Nm,215 Nm,+ 55 Nm
Seat,Ibiza,2008>2015,Gasoline,1.4 TSi FR (CAVF),150 hp,200 hp,+ 50 hp,220 Nm,300 Nm,+ 80 Nm
Seat,Ibiza,2008>2015,Diesel,2.0 TDi FR,143 hp,185 hp,+ 42 hp,320 Nm,410 Nm,+ 90 Nm
Seat,Ibiza,06/2017>...,Gasoline,1.5 TSI,150 hp,175 hp,+ 25 hp,250 Nm,300 Nm,+ 50 Nm
Seat,Ibiza,06/2017>...,Gasoline,1.0 TSi,115 hp,130 hp,+ 15 hp,200 Nm,240 Nm,+ 40 Nm
Seat,Ibiza,06/2017>...,Diesel,1.6 TDI,80 hp,140 hp,+ 60 hp,230 Nm,310 Nm,+ 80 Nm
Seat,Ibiza,2008>2015,Gasoline,1.4 TSi (CTHE-CTJC),180 hp,200 hp,+ 20 hp,250 Nm,300 Nm,+ 50 Nm
Seat,Ibiza,2008>2015,Diesel,1.2 TDi,75 hp,100 hp,+ 25 hp,180 Nm,220 Nm,+ 40 Nm
Seat,Ibiza,2015>2017,Gasoline,1.4 TSI,150 hp,175 hp,+ 25 hp,250 Nm,320 Nm,+ 70 Nm
Seat,Ibiza,2015>2017,Gasoline,1.2 TSI,110 hp,130 hp,+ 20 hp,175 Nm,215 Nm,+ 40 Nm
Seat,Ibiza,2015>2017,Gasoline,1.2 TSI,90 hp,130 hp,+ 40 hp,160 Nm,215 Nm,+ 55 Nm
Seat,Ibiza,2008>2015,Diesel,1.4 TDi,80 hp,100 hp,+ 20 hp,190 Nm,245 Nm,+ 55 Nm
Seat,Ibiza,2015>2017,Gasoline,1.0 TSi,110 hp,130 hp,+ 20 hp,200 Nm,240 Nm,+ 40 Nm
Seat,Ibiza,2008>2015,Gasoline,1.4 TSi Cupra (CAVE),180 hp,200 hp,+ 20 hp,250 Nm,300 Nm,+ 50 Nm
