brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Skoda,Citigo,2012>2017,Gasoline,1.0i,60 hp,80 hp,+ 20 hp,95 Nm,100 Nm,+ 5 Nm
Skoda,Citigo,2012>2017,Gasoline,1.0 TSi,90 hp,130 hp,+ 40 hp,160 Nm,240 Nm,+ 80 Nm
Skoda,Citigo,2012>2017,Gasoline,1.0i,75 hp,80 hp,+ 5 hp,95 Nm,100 Nm,+ 5 Nm
Skoda,Fabia,2007>2014,Diesel,1.6 TDi,105 hp,136 hp,+ 31 hp,250 Nm,300 Nm,+ 50 Nm
Skoda,Fabia,2014>...,Gasoline,1.0 TSi,110 hp,130 hp,+ 20 hp,200 Nm,240 Nm,+ 40 Nm
Skoda,Fabia,2001>2007,Diesel,1.4 TDI,70 hp,95 hp,+ 25 hp,155 Nm,195 Nm,+ 40 Nm
Skoda,Fabia,2007>2014,Diesel,1.6 TDi,90 hp,136 hp,+ 46 hp,230 Nm,300 Nm,+ 70 Nm
Skoda,Fabia,2007>2014,Diesel,1.6 TDi,75 hp,136 hp,+ 61 hp,195 Nm,300 Nm,+ 105 Nm
Skoda,Fabia,2001>2007,Diesel,1.4 TDI,75 hp,100 hp,+ 25 hp,195 Nm,245 Nm,+ 50 Nm
Skoda,Fabia,2014>...,Gasoline,1.2 TSI,90 hp,130 hp,+ 40 hp,160 Nm,215 Nm,+ 55 Nm
Skoda,Fabia,2007>2014,Gasoline,1.2 TSi,105 hp,130 hp,+ 25 hp,175 Nm,215 Nm,+ 40 Nm
Skoda,Fabia,2007>2014,Diesel,1.4 TDi,80 hp,100 hp,+ 20 hp,195 Nm,245 Nm,+ 50 Nm
Skoda,Fabia,2001>2007,Diesel,1.4 TDI,80 hp,100 hp,+ 20 hp,195 Nm,245 Nm,+ 50 Nm
Skoda,Fabia,2014>...,Gasoline,1.2 TSI,110 hp,130 hp,+ 20 hp,175 Nm,215 Nm,+ 40 Nm
Skoda,Fabia,2007>2014,Diesel,1.4 TDi,70 hp,95 hp,+ 25 hp,155 Nm,195 Nm,+ 40 Nm
Skoda,Fabia,2007>2014,Gasoline,1.4 TSi RS (CAVE),180 hp,200 hp,+ 20 hp,250 Nm,300 Nm,+ 50 Nm
Skoda,Fabia,2007>2014,Diesel,1.2 TDi,75 hp,100 hp,+ 25 hp,180 Nm,220 Nm,+ 40 Nm
Skoda,Fabia,2014>...,Diesel,1.4 TDI,75 hp,115 hp,+ 40 hp,210 Nm,280 Nm,+ 70 Nm
Skoda,Fabia,2014>...,Diesel,1.4 TDI,105 hp,130 hp,+ 25 hp,250 Nm,300 Nm,+ 50 Nm
Skoda,Fabia,2007>2014,Gasoline,1.4 TSi RS (CTHE),180 hp,200 hp,+ 20 hp,250 Nm,300 Nm,+ 50 Nm
Skoda,Fabia,2001>2007,Diesel,1.9 TDI,100 hp,140 hp,+ 40 hp,240 Nm,320 Nm,+ 80 Nm
Skoda,Fabia,2014>...,Diesel,1.4 TDI,90 hp,115 hp,+ 25 hp,230 Nm,280 Nm,+ 50 Nm
Skoda,Fabia,2007>2014,Gasoline,1.2 TSi,85 hp,130 hp,+ 45 hp,160 Nm,215 Nm,+ 55 Nm
Skoda,Fabia,2007>2014,Diesel,1.9 TDi,105 hp,140 hp,+ 35 hp,250 Nm,320 Nm,+ 70 Nm
Skoda,Fabia,2001>2007,Diesel,1.9 TDI RS,130 hp,165 hp,+ 35 hp,310 Nm,365 Nm,+ 55 Nm
Skoda,Fabia,2007>2014,Gasoline,1.2 HTP,70 hp,77 hp,+ 7 hp,112 Nm,122 Nm,+ 10 Nm
Skoda,Fabia,2014>...,Gasoline,1.0i,60 hp,80 hp,+ 20 hp,95 Nm,100 Nm,+ 5 Nm
Skoda,Fabia,2014>...,Gasoline,1.0 TSi,95 hp,130 hp,+ 35 hp,160 Nm,240 Nm,+ 80 Nm
Skoda,Fabia,2014>...,Gasoline,1.0i,75 hp,80 hp,+ 5 hp,95 Nm,100 Nm,+ 5 Nm
Skoda,Fabia,2007>2014,Gasoline,1.2 HTP,60 hp,77 hp,+ 17 hp,108 Nm,122 Nm,+ 14 Nm
Skoda,Kamiq,2019>...,Gasoline,1.0 TSI,95 hp,130 hp,+ 35 hp,175 Nm,240 Nm,+ 65 Nm
Skoda,Kamiq,2019>...,Gasoline,1.0 TSI,115 hp,130 hp,+ 15 hp,200 Nm,240 Nm,+ 40 Nm
Skoda,Kamiq,2019>...,Gasoline,1.5 TSI,150 hp,175 hp,+ 25 hp,250 Nm,300 Nm,+ 50 Nm
Skoda,Kamiq,2019>...,Diesel,1.6 TDI,116 hp,145 hp,+ 29 hp,250 Nm,310 Nm,+ 60 Nm
Skoda,Karoq,2017>...,Diesel,2.0 TDI,190 hp,220 hp,+ 30 hp,400 Nm,450 Nm,+ 50 Nm
Skoda,Karoq,2017>...,Gasoline,1.5 TSI,150 hp,175 hp,+ 25 hp,250 Nm,300 Nm,+ 50 Nm
Skoda,Karoq,2017>...,Diesel,2.0 TDI,150 hp,195 hp,+ 45 hp,340 Nm,430 Nm,+ 90 Nm
Skoda,Karoq,2017>...,Gasoline,1.0 TSI,115 hp,130 hp,+ 15 hp,200 Nm,240 Nm,+ 40 Nm
Skoda,Karoq,2017>...,Diesel,1.6 TDI,116 hp,145 hp,+ 29 hp,250 Nm,310 Nm,+ 60 Nm
Skoda,Karoq,2017>...,Gasoline,2.0 TSI,190 hp,235 hp,+ 45 hp,320 Nm,400 Nm,+ 80 Nm
Skoda,Kodiaq,2017>...,Gasoline,1.4 TSI,150 hp,175 hp,+ 25 hp,250 Nm,320 Nm,+ 70 Nm
Skoda,Kodiaq,2017>...,Diesel,2.0 TDI CR,150 hp,195 hp,+ 45 hp,320 Nm,430 Nm,+ 110 Nm
Skoda,Kodiaq,2017>...,Diesel,RS 2.0 Bi TDI,240 hp,290 hp,+ 50 hp,500 Nm,580 Nm,+ 80 Nm
Skoda,Kodiaq,2017>...,Gasoline,2.0 TSI,190 hp,235 hp,+ 45 hp,320 Nm,400 Nm,+ 80 Nm
Skoda,Kodiaq,2017>...,Gasoline,2.0 TSI,180 hp,235 hp,+ 55 hp,320 Nm,400 Nm,+ 80 Nm
Skoda,Kodiaq,2017>...,Gasoline,1.4 TSI,125 hp,155 hp,+ 30 hp,200 Nm,270 Nm,+ 70 Nm
Skoda,Kodiaq,2017>...,Gasoline,1.5 TSI,150 hp,175 hp,+ 25 hp,250 Nm,300 Nm,+ 50 Nm
Skoda,Kodiaq,2017>...,Diesel,2.0 TDI CR,190 hp,220 hp,+ 30 hp,400 Nm,450 Nm,+ 50 Nm
Skoda,Octavia,03/2017>2020,Gasoline,2.0 TSI RS,245 hp,300 hp,+ 55 hp,360 Nm,440 Nm,+ 80 Nm
Skoda,Octavia,2013>2017,Diesel,2.0 TDI,150 hp,195 hp,+ 45 hp,320 Nm,430 Nm,+ 110 Nm
Skoda,Octavia,03/2017>2020,Gasoline,2.0 TSI RS,230 hp,300 hp,+ 70 hp,350 Nm,440 Nm,+ 90 Nm
Skoda,Octavia,2013>2017,Diesel,2.0 TDI,184 hp,220 hp,+ 36 hp,380 Nm,450 Nm,+ 70 Nm
Skoda,Octavia,2004>2012,Diesel,1.9 TDi,105 hp,140 hp,+ 35 hp,250 Nm,320 Nm,+ 70 Nm
Skoda,Octavia,03/2017>2020,Gasoline,1.8 TSI,180 hp,220 hp,+ 40 hp,250 Nm,350 Nm,+ 100 Nm
Skoda,Octavia,1997>2004,Diesel,1.9TDi,130 hp,165 hp,+ 35 hp,310 Nm,385 Nm,+ 75 Nm
Skoda,Octavia,2004>2012,Diesel,2.0 TDi (IP),136 hp,180 hp,+ 44 hp,320 Nm,400 Nm,+ 80 Nm
Skoda,Octavia,2013>2017,Gasoline,2.0 TSI RS,220 hp,300 hp,+ 80 hp,350 Nm,440 Nm,+ 90 Nm
Skoda,Octavia,2013>2017,Gasoline,1.2 TSI,105 hp,130 hp,+ 25 hp,175 Nm,215 Nm,+ 40 Nm
Skoda,Octavia,03/2017>2020,Diesel,1.6 TDI,110 hp,140 hp,+ 30 hp,250 Nm,310 Nm,+ 60 Nm
Skoda,Octavia,03/2017>2020,Diesel,1.6 TDI,115 hp,145 hp,+ 30 hp,250 Nm,310 Nm,+ 60 Nm
Skoda,Octavia,2013>2017,Gasoline,1.8 TSI,180 hp,220 hp,+ 40 hp,250 Nm,350 Nm,+ 100 Nm
Skoda,Octavia,03/2017>2020,Diesel,2.0 TDI,150 hp,195 hp,+ 45 hp,320 Nm,430 Nm,+ 110 Nm
Skoda,Octavia,2013>2017,Gasoline,1.4 TSI,150 hp,175 hp,+ 25 hp,250 Nm,320 Nm,+ 70 Nm
Skoda,Octavia,2004>2012,Diesel,2.0 TDi (CR),170 hp,205 hp,+ 35 hp,350 Nm,420 Nm,+ 70 Nm
Skoda,Octavia,03/2017>2020,Diesel,2.0 TDI,184 hp,220 hp,+ 36 hp,380 Nm,450 Nm,+ 70 Nm
Skoda,Octavia,2013>2017,Diesel,1.6 TDI,90 hp,145 hp,+ 55 hp,230 Nm,310 Nm,+ 80 Nm
Skoda,Octavia,2004>2012,Diesel,2.0 TDi (IP),140 hp,180 hp,+ 40 hp,320 Nm,400 Nm,+ 80 Nm
Skoda,Octavia,2020>...,Diesel,2.0 TDI Evo,200 hp, hp,0 hp, Nm, Nm,0 Nm
Skoda,Octavia,2013>2017,Gasoline,1.4 TSI (CHPA),140 hp,170 hp,+ 30 hp,250 Nm,300 Nm,+ 50 Nm
