brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
SsangYong,Actyon,All,Diesel,2.0 XDi,136 hp,170 hp,+ 34 hp,310 Nm,370 Nm,+ 60 Nm
SsangYong,Actyon,All,Diesel,2.0 e-XDi,155 hp,200 hp,+ 45 hp,360 Nm,450 Nm,+ 90 Nm
SsangYong,Actyon,All,Diesel,2.2 e-XDi,178 hp,220 hp,+ 42 hp,400 Nm,460 Nm,+ 60 Nm
SsangYong,Actyon,All,Diesel,2.0 XDi,140 hp,170 hp,+ 30 hp,310 Nm,370 Nm,+ 60 Nm
SsangYong,Korando,2012>...,Diesel,2.0 e-XDi,175 hp,200 hp,+ 25 hp,360 Nm,420 Nm,+ 60 Nm
SsangYong,Korando,2012>...,Diesel,2.0 e-XDi,149 hp,185 hp,+ 36 hp,360 Nm,450 Nm,+ 90 Nm
SsangYong,Kyron,All,Diesel,2.0 XDi,141 hp,170 hp,+ 29 hp,318 Nm,370 Nm,+ 52 Nm
SsangYong,Kyron,All,Diesel,2.7 XDi,165 hp,185 hp,+ 20 hp,345 Nm,430 Nm,+ 85 Nm
SsangYong,Musso,2018>...,Diesel,2.2 e-XDi,181 hp,210 hp,+ 29 hp,420 Nm,460 Nm,+ 40 Nm
SsangYong,New Rodius,All,Diesel,2.0 e-XDi,155 hp,200 hp,+ 45 hp,360 Nm,420 Nm,+ 60 Nm
SsangYong,New Rodius,All,Diesel,2.2 e-XDi,178 hp,220 hp,+ 42 hp,400 Nm,460 Nm,+ 60 Nm
SsangYong,Rexton,All,Diesel,2.0 e-XDi,155 hp,200 hp,+ 45 hp,360 Nm,420 Nm,+ 60 Nm
SsangYong,Rexton,All,Diesel,2.7 XDi,163 hp,185 hp,+ 22 hp,345 Nm,420 Nm,+ 75 Nm
SsangYong,Rexton,All,Diesel,2.2 e-XDi,178 hp,210 hp,+ 32 hp,400 Nm,460 Nm,+ 60 Nm
SsangYong,Rexton,All,Diesel,2.2 e-XDi,181 hp,210 hp,+ 29 hp,420 Nm,460 Nm,+ 40 Nm
SsangYong,Tivoli,2015>...,Diesel,1.6 e-XDI,115 hp,140 hp,+ 25 hp,300 Nm,350 Nm,+ 50 Nm
SsangYong,XLV,2016>...,Diesel,1.6 e-XDI,115 hp,140 hp,+ 25 hp,300 Nm,350 Nm,+ 50 Nm
