brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Toyota,Auris,2006>2012,Diesel,1.4 D4D,90 hp,115 hp,+ 25 hp,190 Nm,250 Nm,+ 60 Nm
Toyota,Auris,2012>...,Gasoline,1.2T,116 hp,130 hp,+ 14 hp,185 Nm,225 Nm,+ 40 Nm
Toyota,Auris,2006>2012,Diesel,2.0 D4D,126 hp,150 hp,+ 24 hp,300 Nm,360 Nm,+ 60 Nm
Toyota,Auris,2012>...,Diesel,1.4 D4D,90 hp,115 hp,+ 25 hp,205 Nm,250 Nm,+ 45 Nm
Toyota,Auris,2012>...,Diesel,1.6 D4D,112 hp,150 hp,+ 38 hp,270 Nm,320 Nm,+ 50 Nm
Toyota,Auris,2012>...,Diesel,2.0 D4D,126 hp,150 hp,+ 24 hp,310 Nm,360 Nm,+ 50 Nm
Toyota,Auris,2006>2012,Diesel,2.2 D4D,177 hp,190 hp,+ 13 hp,400 Nm,440 Nm,+ 40 Nm
Toyota,Avensis,2009>2015,Diesel,2.0 D4D FAP,126 hp,150 hp,+ 24 hp,310 Nm,360 Nm,+ 50 Nm
Toyota,Avensis,2006>2009,Diesel,2.2 D4D,150 hp,175 hp,+ 25 hp,310 Nm,400 Nm,+ 90 Nm
Toyota,Avensis,2009>2015,Diesel,2.2 D4D FAP,150 hp,175 hp,+ 25 hp,340 Nm,400 Nm,+ 60 Nm
Toyota,Avensis,2006>2009,Diesel,2.0 D4D,126 hp,150 hp,+ 24 hp,300 Nm,360 Nm,+ 60 Nm
Toyota,Avensis,2015>...,Diesel,2.2 D4D,150 hp,175 hp,+ 25 hp,340 Nm,400 Nm,+ 60 Nm
Toyota,Avensis,2015>...,Diesel,1.6 D-4D,112 hp,150 hp,+ 38 hp,270 Nm,320 Nm,+ 50 Nm
Toyota,Avensis,2009>2015,Diesel,2.2 D-CAT FAP,177 hp,190 hp,+ 13 hp,400 Nm,440 Nm,+ 40 Nm
Toyota,Avensis,2009>2015,Diesel,2.2 D-CAT FAP,150 hp,175 hp,+ 25 hp,340 Nm,400 Nm,+ 60 Nm
Toyota,Avensis,2015>...,Diesel,2.2 D-CAT,150 hp,175 hp,+ 25 hp,340 Nm,400 Nm,+ 60 Nm
