brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Volkswagen,Amarok,2010>2016,Diesel,2.0 TDI CR,122 hp,185 hp,+ 63 hp,340 Nm,420 Nm,+ 80 Nm
Volkswagen,Amarok,2016>...,Diesel,3.0 V6 TDI,224 hp,320 hp,+ 96 hp,550 Nm,680 Nm,+ 130 Nm
Volkswagen,Amarok,2010>2016,Diesel,2.0 TDI CR,180 hp,205 hp,+ 25 hp,420 Nm,470 Nm,+ 50 Nm
Volkswagen,Amarok,2016>...,Diesel,3.0 V6 TDI,204 hp,320 hp,+ 116 hp,500 Nm,680 Nm,+ 180 Nm
Volkswagen,Amarok,2010>2016,Diesel,2.0 TDI CR,163 hp,200 hp,+ 37 hp,400 Nm,450 Nm,+ 50 Nm
Volkswagen,Amarok,2016>...,Diesel,3.0 V6 TDI,258 hp,320 hp,+ 62 hp,580 Nm,680 Nm,+ 100 Nm
Volkswagen,Amarok,2016>...,Diesel,3.0 V6 TDI,163 hp,320 hp,+ 157 hp,500 Nm,680 Nm,+ 180 Nm
Volkswagen,Amarok,2010>2016,Diesel,2.0 TDI CR,140 hp,185 hp,+ 45 hp,320 Nm,420 Nm,+ 100 Nm
Volkswagen,Arteon,2017>...,Diesel,2.0 TDI Bi Turbo,240 hp,290 hp,+ 50 hp,500 Nm,550 Nm,+ 50 Nm
Volkswagen,Arteon,2017>...,Gasoline,2.0 TSI,280 hp,350 hp,+ 70 hp,350 Nm,460 Nm,+ 110 Nm
Volkswagen,Arteon,2017>...,Diesel,2.0 TDI,190 hp,220 hp,+ 30 hp,400 Nm,450 Nm,+ 50 Nm
Volkswagen,Arteon,2017>...,Diesel,2.0 TDI,150 hp,195 hp,+ 45 hp,320 Nm,430 Nm,+ 110 Nm
Volkswagen,Arteon,2017>...,Gasoline,2.0 TSI,150 hp,235 hp,+ 85 hp,250 Nm,400 Nm,+ 150 Nm
Volkswagen,Arteon,2017>...,Gasoline,1.5 TSI,150 hp,175 hp,+ 25 hp,250 Nm,300 Nm,+ 50 Nm
Volkswagen,Arteon,2017>...,Gasoline,2.0 TSI,190 hp,235 hp,+ 45 hp,320 Nm,400 Nm,+ 80 Nm
Volkswagen,Arteon,2017>...,Gasoline,2.0 TSI,272 hp,350 hp,+ 78 hp,350 Nm,460 Nm,+ 110 Nm
