brand,model,generation,fuel,para,power_original,power_promoted,power_diff,torque_original,torque_promoted,torque_diff
Volvo,C30,2010>...,Gasoline,2.5 T5,230 hp,260 hp,+ 30 hp,320 Nm,380 Nm,+ 60 Nm
Volvo,C30,2006>2009,Diesel,2.4 D5,163 hp,225 hp,+ 62 hp,340 Nm,460 Nm,+ 120 Nm
Volvo,C30,2010>...,Diesel,2.0 D4,177 hp,200 hp,+ 23 hp,400 Nm,450 Nm,+ 50 Nm
Volvo,C30,2006>2009,Diesel,2.4 D5A,180 hp,215 hp,+ 35 hp,350 Nm,450 Nm,+ 100 Nm
Volvo,C30,2006>2009,Diesel,2.0 D,136 hp,180 hp,+ 44 hp,320 Nm,400 Nm,+ 80 Nm
Volvo,C30,2010>...,Diesel,2.4 D5,180 hp,225 hp,+ 45 hp,400 Nm,480 Nm,+ 80 Nm
Volvo,C30,2006>2009,Diesel,2.4 D5,180 hp,225 hp,+ 45 hp,400 Nm,480 Nm,+ 80 Nm
Volvo,C30,2006>2009,Diesel,1.6 D,110 hp,140 hp,+ 30 hp,240 Nm,320 Nm,+ 80 Nm
Volvo,C30,2010>...,Diesel,2.0 D3,150 hp,200 hp,+ 50 hp,350 Nm,450 Nm,+ 100 Nm
Volvo,C30,2006>2009,Gasoline,2.5 T5,230 hp,260 hp,+ 30 hp,320 Nm,380 Nm,+ 60 Nm
Volvo,C30,2010>...,Diesel,1.6 D2,115 hp,135 hp,+ 20 hp,270 Nm,330 Nm,+ 60 Nm
Volvo,C30,2010>...,Diesel,1.6 D,110 hp,140 hp,+ 30 hp,240 Nm,305 Nm,+ 65 Nm
Volvo,C30,2006>2009,Gasoline,2.5 T5,220 hp,260 hp,+ 40 hp,320 Nm,380 Nm,+ 60 Nm
Volvo,C30,2010>...,Diesel,2.0 D,136 hp,180 hp,+ 44 hp,320 Nm,400 Nm,+ 80 Nm
Volvo,C70,2010>...,Diesel,2.0 D4,177 hp,200 hp,+ 23 hp,400 Nm,450 Nm,+ 50 Nm
Volvo,C70,2006>2009,Diesel,2.4 D5,180 hp,225 hp,+ 45 hp,350 Nm,480 Nm,+ 130 Nm
Volvo,C70,2010>...,Diesel,2.0 D3,150 hp,200 hp,+ 50 hp,350 Nm,450 Nm,+ 100 Nm
Volvo,C70,2006>2009,Diesel,2.4 D5,163 hp,215 hp,+ 52 hp,350 Nm,480 Nm,+ 130 Nm
Volvo,C70,2006>2009,Diesel,D3,150 hp,200 hp,+ 50 hp,350 Nm,450 Nm,+ 100 Nm
Volvo,C70,2010>...,Diesel,2.0 D,136 hp,180 hp,+ 44 hp,320 Nm,400 Nm,+ 80 Nm
Volvo,C70,2006>2009,Diesel,2.0 D,136 hp,170 hp,+ 34 hp,320 Nm,380 Nm,+ 60 Nm
Volvo,C70,2006>2009,Diesel,D4,163 hp,200 hp,+ 37 hp,400 Nm,450 Nm,+ 50 Nm
Volvo,C70,2010>...,Diesel,2.4 D5,180 hp,225 hp,+ 45 hp,350 Nm,480 Nm,+ 130 Nm
Volvo,C70,2006>2009,Gasoline,2.5 T5,230 hp,260 hp,+ 30 hp,320 Nm,380 Nm,+ 60 Nm
Volvo,C70,2010>...,Gasoline,2.5 T5,230 hp,260 hp,+ 30 hp,320 Nm,380 Nm,+ 60 Nm
Volvo,S40 / V50,2007>...,Diesel,2.0 D4,177 hp,200 hp,+ 23 hp,400 Nm,450 Nm,+ 50 Nm
Volvo,S40 / V50,2007>...,Diesel,2.0 D3,150 hp,200 hp,+ 50 hp,350 Nm,450 Nm,+ 100 Nm
Volvo,S40 / V50,06/2004>04/2007,Diesel,2.4 D5,180 hp,215 hp,+ 35 hp,350 Nm,390 Nm,+ 40 Nm
Volvo,S40 / V50,06/2004>04/2007,Gasoline,2.5 T5,220 hp,260 hp,+ 40 hp,320 Nm,380 Nm,+ 60 Nm
Volvo,S40 / V50,2007>...,Diesel,2.4 D5,163 hp,225 hp,+ 62 hp,400 Nm,480 Nm,+ 80 Nm
Volvo,S40 / V50,2007>...,Gasoline,2.4,140 hp,170 hp,+ 30 hp,220 Nm,235 Nm,+ 15 Nm
Volvo,S40 / V50,2000>2004,Diesel,1.9D,115 hp,145 hp,+ 30 hp,265 Nm,330 Nm,+ 65 Nm
Volvo,S40 / V50,2007>...,Diesel,2.0D,136 hp,180 hp,+ 44 hp,320 Nm,400 Nm,+ 80 Nm
Volvo,S40 / V50,2007>...,Diesel,2.0 D4,163 hp,200 hp,+ 37 hp,400 Nm,450 Nm,+ 50 Nm
Volvo,S40 / V50,2007>...,Diesel,1.6 D2,115 hp,140 hp,+ 25 hp,270 Nm,320 Nm,+ 50 Nm
Volvo,S40 / V50,06/2004>04/2007,Diesel,2.4 D5,163 hp,215 hp,+ 52 hp,350 Nm,390 Nm,+ 40 Nm
Volvo,S40 / V50,06/2004>04/2007,Diesel,1.6 D,110 hp,140 hp,+ 30 hp,240 Nm,290 Nm,+ 50 Nm
Volvo,S40 / V50,2007>...,Diesel,2.4 D5,180 hp,225 hp,+ 45 hp,400 Nm,480 Nm,+ 80 Nm
Volvo,S40 / V50,2007>...,Diesel,1.6D,110 hp,140 hp,+ 30 hp,240 Nm,320 Nm,+ 80 Nm
Volvo,S40 / V50,2007>...,Gasoline,2.5 T5,220 hp,260 hp,+ 40 hp,320 Nm,380 Nm,+ 60 Nm
Volvo,S40 / V50,2007>...,Gasoline,2.5 T5,230 hp,260 hp,+ 30 hp,320 Nm,380 Nm,+ 60 Nm
Volvo,S40 / V50,2000>2004,Diesel,1.9D,102 hp,125 hp,+ 23 hp,215 Nm,300 Nm,+ 85 Nm
Volvo,S40 / V50,06/2004>04/2007,Diesel,2.0 D,136 hp,175 hp,+ 39 hp,320 Nm,390 Nm,+ 70 Nm
Volvo,S60 / V60,2011>2015,Diesel,1.6 D2,115 hp,135 hp,+ 20 hp,270 Nm,330 Nm,+ 60 Nm
